date	version	qsize
2002-12-30 23:54:11	server_097	17
2003-09-30 12:08:23	server_097c	14
2004-10-25 11:24:39	server_097e	14
2007-10-11 18:23:17	server_098f	14
2009-01-07 10:50:54	client_098j	12
2009-11-05 16:08:52	client_098l	12
2009-11-05 16:08:52	server_098l	11
2010-02-25 17:18:23	client_098m	12
2010-02-25 17:18:23	server_098m	10
2010-03-29 13:11:54	client_100	12
2010-03-29 13:11:54	server_100	10
2012-01-04 17:01:33	server_100f	10
2012-01-04 19:23:07	server_098s	10
2012-03-12 15:25:53	server_098u	12
2012-03-12 15:26:48	server_100h	12
2012-03-14 12:39:00	client_101	12
2012-03-14 12:39:00	server_101	14
2014-01-06 14:36:07	client_101f	12
2014-06-05 10:38:57	client_098za	7
2014-06-05 10:38:57	server_098za	9
2014-06-05 10:42:13	client_100m	7
2014-06-05 10:42:13	server_100m	9
2014-06-05 10:45:00	client_101h	7
2014-06-05 10:45:00	server_101h	9
2015-01-08 14:03:40	server_101k	8
2015-01-22 16:12:26	client_102	7
2015-01-22 16:12:26	server_102	7
2015-12-10 14:23:10	client_110-pre1	6
2015-12-10 14:23:10	server_110pre1	6
