algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,10,10,1,44960,1,48
dfa/TTT,1,10,10,9,49231,1,51
dfa/dynamicTTT,2,10,10,1,58052,2,65
dfa/TTT,2,10,10,9,61815,2,65
dfa/dynamicTTT,3,10,10,1,77786,3,84
dfa/TTT,3,10,10,9,80040,3,89
dfa/dynamicTTT,4,10,10,1,110670,4,117
dfa/TTT,4,10,10,9,111490,4,120
dfa/dynamicTTT,5,10,10,1,127734,5,138
dfa/TTT,5,10,10,9,129192,5,148
dfa/dynamicTTT,6,10,10,1,152858,6,168
dfa/TTT,6,10,10,9,158458,6,175
dfa/dynamicTTT,7,10,10,1,183656,7,206
dfa/TTT,7,10,10,9,189820,7,212
dfa/dynamicTTT,8,10,10,1,222122,8,261
dfa/TTT,8,10,10,9,223137,8,251
dfa/dynamicTTT,9,10,10,1,260267,9,305
dfa/TTT,9,10,10,9,261305,9,303
dfa/dynamicTTT,10,10,10,1,54866,1,60
dfa/TTT,10,10,10,9,52293,1,55
dfa/dynamicTTT,11,10,10,1,65917,2,73
dfa/TTT,11,10,10,9,64625,2,74
dfa/dynamicTTT,12,10,10,1,84668,3,94
dfa/TTT,12,10,10,9,85428,3,95
dfa/dynamicTTT,13,10,10,1,105115,4,117
dfa/TTT,13,10,10,9,103114,4,112
dfa/dynamicTTT,14,10,10,1,128151,5,143
dfa/TTT,14,10,10,9,125562,5,142
dfa/dynamicTTT,15,10,10,1,154329,6,188
dfa/TTT,15,10,10,9,150933,6,170
dfa/dynamicTTT,16,10,10,1,183941,7,211
dfa/TTT,16,10,10,9,178815,7,220
dfa/dynamicTTT,17,10,10,1,217449,8,248
dfa/TTT,17,10,10,9,210155,8,260
dfa/dynamicTTT,18,10,10,1,255360,9,323
dfa/TTT,18,10,10,9,246897,9,314
dfa/dynamicTTT,19,10,10,1,51717,1,51
dfa/TTT,19,10,10,9,51900,1,58
dfa/dynamicTTT,20,10,10,1,62940,2,68
dfa/TTT,20,10,10,9,64130,2,66
dfa/dynamicTTT,21,10,10,1,84468,3,90
dfa/TTT,21,10,10,9,84220,3,93
dfa/dynamicTTT,22,10,10,1,104206,4,121
dfa/TTT,22,10,10,9,97818,4,106
dfa/dynamicTTT,23,10,10,1,129401,5,148
dfa/TTT,23,10,10,9,127278,5,146
dfa/dynamicTTT,24,10,10,1,154504,6,182
