algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,5,10,2,17889,1,42
dfa/TTT,1,5,10,5,18201,1,45
dfa/dynamicTTT,2,5,10,3,21968,2,43
dfa/TTT,2,5,10,6,22400,2,44
dfa/dynamicTTT,3,5,10,4,26980,3,67
dfa/TTT,3,5,10,7,27677,3,61
dfa/dynamicTTT,4,5,10,6,33086,4,66
dfa/TTT,4,5,10,8,33327,4,69
dfa/dynamicTTT,5,5,10,7,37018,5,87
dfa/TTT,5,5,10,8,36469,5,72
dfa/dynamicTTT,6,5,10,8,43207,6,96
dfa/TTT,6,5,10,9,42605,6,83
dfa/dynamicTTT,7,5,10,9,48548,7,103
dfa/TTT,7,5,10,10,47876,7,94
dfa/dynamicTTT,8,5,10,10,53320,8,108
dfa/TTT,8,5,10,11,52618,8,113
dfa/dynamicTTT,9,5,10,11,56203,9,122
dfa/TTT,9,5,10,13,56793,9,117
dfa/dynamicTTT,10,5,10,2,17675,1,36
dfa/TTT,10,5,10,5,19559,1,41
dfa/dynamicTTT,11,5,10,3,24488,2,55
dfa/TTT,11,5,10,6,26274,2,50
dfa/dynamicTTT,12,5,10,4,31029,3,61
dfa/TTT,12,5,10,7,32911,3,70
dfa/dynamicTTT,13,5,10,5,36489,4,67
dfa/TTT,13,5,10,8,38578,4,77
dfa/dynamicTTT,14,5,10,6,39821,5,79
dfa/TTT,14,5,10,9,44518,5,83
dfa/dynamicTTT,15,5,10,7,44556,6,93
dfa/TTT,15,5,10,10,49215,6,93
dfa/dynamicTTT,16,5,10,8,50174,7,104
dfa/TTT,16,5,10,11,58601,7,111
dfa/dynamicTTT,18,5,10,1,2352,1,6
dfa/TTT,18,5,10,1,2352,1,4
dfa/dynamicTTT,19,5,10,2,4275,2,10
dfa/TTT,19,5,10,2,4275,2,9
dfa/dynamicTTT,20,5,10,3,6522,3,14
dfa/TTT,20,5,10,3,6522,3,13
dfa/dynamicTTT,21,5,10,4,9802,4,20
dfa/TTT,21,5,10,4,9802,4,20
dfa/dynamicTTT,22,5,10,5,13095,5,24
dfa/TTT,22,5,10,5,13095,5,25
dfa/dynamicTTT,23,5,10,6,17371,6,34
