algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,50,10,1,331029,1,429
dfa/TTT,1,50,10,48,368867,1,446
dfa/dynamicTTT,2,50,10,1,330970,2,431
dfa/TTT,2,50,10,48,368680,2,447
dfa/dynamicTTT,3,50,10,1,330883,3,417
dfa/TTT,3,50,10,48,368570,3,453
dfa/dynamicTTT,4,50,10,1,332384,4,427
dfa/TTT,4,50,10,48,360507,4,442
dfa/dynamicTTT,5,50,10,1,332398,5,426
dfa/TTT,5,50,10,48,360539,5,456
dfa/dynamicTTT,6,50,10,1,332472,6,448
dfa/TTT,6,50,10,48,360569,6,450
dfa/dynamicTTT,7,50,10,2,334649,7,456
dfa/TTT,7,50,10,48,356451,7,439
dfa/dynamicTTT,8,50,10,2,334726,8,427
dfa/TTT,8,50,10,48,356606,8,438
dfa/dynamicTTT,9,50,10,2,334629,9,441
dfa/TTT,9,50,10,48,356447,9,481
dfa/dynamicTTT,10,50,10,1,325570,1,508
dfa/TTT,10,50,10,48,340547,1,457
dfa/dynamicTTT,11,50,10,1,325618,2,488
dfa/TTT,11,50,10,48,340594,2,428
dfa/dynamicTTT,12,50,10,1,325606,3,508
dfa/TTT,12,50,10,48,339310,3,456
dfa/dynamicTTT,13,50,10,1,325565,4,442
dfa/TTT,13,50,10,48,339160,4,488
dfa/dynamicTTT,14,50,10,2,326284,5,464
dfa/TTT,14,50,10,48,342068,5,442
dfa/dynamicTTT,15,50,10,2,326297,6,434
dfa/TTT,15,50,10,48,342083,6,432
dfa/dynamicTTT,16,50,10,2,326307,7,522
dfa/TTT,16,50,10,48,342050,7,435
dfa/dynamicTTT,17,50,10,2,326165,8,444
dfa/TTT,17,50,10,48,341871,8,492
dfa/dynamicTTT,18,50,10,2,326156,9,471
dfa/TTT,18,50,10,48,341870,9,457
dfa/dynamicTTT,19,50,10,2,330529,1,467
dfa/TTT,19,50,10,59,461598,1,616
dfa/dynamicTTT,20,50,10,2,330471,2,492
dfa/TTT,20,50,10,59,461611,2,625
dfa/dynamicTTT,21,50,10,2,335211,3,633
dfa/TTT,21,50,10,59,465480,3,658
dfa/dynamicTTT,22,50,10,2,335325,4,454
dfa/TTT,22,50,10,59,467383,4,655
dfa/dynamicTTT,23,50,10,2,341534,5,519
dfa/TTT,23,50,10,59,473044,5,920
dfa/dynamicTTT,24,50,10,2,341441,6,509
dfa/TTT,24,50,10,59,473126,6,645
dfa/dynamicTTT,25,50,10,2,341653,7,448
dfa/TTT,25,50,10,59,473650,7,612
dfa/dynamicTTT,26,50,10,2,341376,8,474
dfa/TTT,26,50,10,59,473550,8,643
dfa/dynamicTTT,27,50,10,2,341556,9,436
dfa/TTT,27,50,10,59,473727,9,615
dfa/dynamicTTT,28,50,10,2,328744,1,587
dfa/TTT,28,50,10,49,353230,1,468
dfa/dynamicTTT,29,50,10,2,328890,2,436
dfa/TTT,29,50,10,49,353396,2,420
dfa/dynamicTTT,30,50,10,2,328838,3,573
dfa/TTT,30,50,10,49,353350,3,507
dfa/dynamicTTT,31,50,10,2,328928,4,427
dfa/TTT,31,50,10,49,353463,4,423
dfa/dynamicTTT,32,50,10,2,328892,5,452
dfa/TTT,32,50,10,49,353430,5,428
dfa/dynamicTTT,33,50,10,2,328503,6,442
dfa/TTT,33,50,10,49,352899,6,451
dfa/dynamicTTT,34,50,10,2,328472,7,456
dfa/TTT,34,50,10,49,352877,7,423
dfa/dynamicTTT,35,50,10,2,328470,8,432
dfa/TTT,35,50,10,49,352879,8,458
dfa/dynamicTTT,36,50,10,2,328503,9,460
dfa/TTT,36,50,10,49,352826,9,437
dfa/dynamicTTT,37,50,10,1,324326,1,438
dfa/TTT,37,50,10,49,360911,1,444
dfa/dynamicTTT,38,50,10,1,324248,2,442
dfa/TTT,38,50,10,49,360839,2,468
dfa/dynamicTTT,39,50,10,1,324358,3,434
dfa/TTT,39,50,10,49,360927,3,488
dfa/dynamicTTT,40,50,10,2,325040,4,430
dfa/TTT,40,50,10,49,360716,4,459
dfa/dynamicTTT,41,50,10,2,325161,5,423
dfa/TTT,41,50,10,49,360801,5,449
dfa/dynamicTTT,42,50,10,2,324799,6,416
dfa/TTT,42,50,10,49,360445,6,478
dfa/dynamicTTT,43,50,10,2,324843,7,423
dfa/TTT,43,50,10,49,360552,7,439
dfa/dynamicTTT,44,50,10,2,324863,8,435
dfa/TTT,44,50,10,49,360630,8,450
dfa/dynamicTTT,45,50,10,2,321610,9,439
dfa/TTT,45,50,10,49,360184,9,447
dfa/dynamicTTT,46,50,10,1,323913,1,441
dfa/TTT,46,50,10,49,361439,1,481
dfa/dynamicTTT,47,50,10,1,324022,2,430
dfa/TTT,47,50,10,49,361484,2,440
dfa/dynamicTTT,48,50,10,1,324018,3,435
dfa/TTT,48,50,10,49,361535,3,435
dfa/dynamicTTT,49,50,10,1,324059,4,413
dfa/TTT,49,50,10,49,361573,4,429
dfa/dynamicTTT,50,50,10,1,318560,5,437
dfa/TTT,50,50,10,49,355344,5,420
dfa/dynamicTTT,51,50,10,1,318574,6,467
dfa/TTT,51,50,10,49,355340,6,461
dfa/dynamicTTT,52,50,10,1,318725,7,391
dfa/TTT,52,50,10,49,355373,7,404
dfa/dynamicTTT,53,50,10,1,318550,8,389
dfa/TTT,53,50,10,49,355303,8,417
dfa/dynamicTTT,54,50,10,1,318280,9,392
dfa/TTT,54,50,10,49,355074,9,403
dfa/dynamicTTT,55,50,10,1,333476,1,398
dfa/TTT,55,50,10,49,362696,1,389
dfa/dynamicTTT,56,50,10,1,331963,2,399
dfa/TTT,56,50,10,49,362714,2,392
dfa/dynamicTTT,57,50,10,1,331847,3,391
dfa/TTT,57,50,10,49,362730,3,397
dfa/dynamicTTT,58,50,10,2,339682,4,414
dfa/TTT,58,50,10,49,367303,4,537
dfa/dynamicTTT,59,50,10,2,339665,5,421
dfa/TTT,59,50,10,49,367382,5,404
dfa/dynamicTTT,60,50,10,2,339053,6,398
dfa/TTT,60,50,10,49,367744,6,395
dfa/dynamicTTT,61,50,10,2,339617,7,406
dfa/TTT,61,50,10,49,367707,7,424
dfa/dynamicTTT,62,50,10,2,339854,8,404
dfa/TTT,62,50,10,49,367918,8,401
dfa/dynamicTTT,63,50,10,2,339280,9,444
dfa/TTT,63,50,10,49,355207,9,496
dfa/dynamicTTT,64,50,10,1,334408,1,418
dfa/TTT,64,50,10,48,352605,1,407
dfa/dynamicTTT,65,50,10,1,334268,2,405
dfa/TTT,65,50,10,48,352484,2,398
dfa/dynamicTTT,66,50,10,1,335044,3,423
dfa/TTT,66,50,10,48,352487,3,391
dfa/dynamicTTT,67,50,10,1,336198,4,405
dfa/TTT,67,50,10,48,349829,4,388
dfa/dynamicTTT,68,50,10,1,334898,5,389
dfa/TTT,68,50,10,48,348364,5,397
