algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,5,10,1,16979,1,257
dfa/TTT,1,5,10,4,17404,1,165
dfa/dynamicTTT,2,5,10,1,17022,2,149
dfa/TTT,2,5,10,4,17454,2,239
dfa/dynamicTTT,3,5,10,1,21646,3,196
dfa/TTT,3,5,10,4,21781,3,639
dfa/dynamicTTT,4,5,10,1,21852,4,229
dfa/TTT,4,5,10,4,21986,4,107
dfa/dynamicTTT,5,5,10,1,27326,5,136
dfa/TTT,5,5,10,4,27403,5,123
dfa/dynamicTTT,6,5,10,1,27324,6,85
dfa/TTT,6,5,10,4,27400,6,81
dfa/dynamicTTT,7,5,10,1,37090,7,113
dfa/TTT,7,5,10,4,37172,7,152
dfa/dynamicTTT,8,5,10,1,45672,8,131
dfa/TTT,8,5,10,4,45739,8,113
dfa/dynamicTTT,9,5,10,1,54549,9,156
dfa/TTT,9,5,10,4,54616,9,145
dfa/dynamicTTT,10,5,10,1,13086,1,30
dfa/TTT,10,5,10,4,13193,1,39
dfa/dynamicTTT,11,5,10,2,18962,2,46
dfa/TTT,11,5,10,5,20386,2,62
dfa/dynamicTTT,12,5,10,2,18847,3,49
dfa/TTT,12,5,10,5,20257,3,52
dfa/dynamicTTT,13,5,10,2,24408,4,69
dfa/TTT,13,5,10,5,26206,4,69
dfa/dynamicTTT,14,5,10,2,31098,5,69
dfa/TTT,14,5,10,5,34664,5,94
dfa/dynamicTTT,15,5,10,2,31098,6,67
dfa/TTT,15,5,10,5,34664,6,76
dfa/dynamicTTT,16,5,10,2,31240,7,81
dfa/TTT,16,5,10,5,34823,7,78
dfa/dynamicTTT,17,5,10,2,40338,8,118
dfa/TTT,17,5,10,5,40487,8,91
dfa/dynamicTTT,18,5,10,2,40224,9,110
dfa/TTT,18,5,10,5,40363,9,98
dfa/dynamicTTT,19,5,10,1,17262,1,40
dfa/TTT,19,5,10,4,19099,1,50
dfa/dynamicTTT,20,5,10,2,23389,2,58
dfa/TTT,20,5,10,5,25212,2,53
dfa/dynamicTTT,21,5,10,3,28923,3,71
dfa/TTT,21,5,10,6,31054,3,79
dfa/dynamicTTT,22,5,10,3,37236,4,80
dfa/TTT,22,5,10,6,39855,4,133
dfa/dynamicTTT,23,5,10,3,47898,5,126
dfa/TTT,23,5,10,6,52207,5,110
dfa/dynamicTTT,24,5,10,3,58246,6,173
dfa/TTT,24,5,10,6,62826,6,141
dfa/dynamicTTT,25,5,10,4,72125,7,180
dfa/TTT,25,5,10,7,76364,7,173
dfa/dynamicTTT,26,5,10,4,87451,8,229
dfa/TTT,26,5,10,7,87168,8,203
dfa/dynamicTTT,27,5,10,4,87092,9,209
dfa/TTT,27,5,10,7,86810,9,210
dfa/dynamicTTT,28,5,10,1,16927,1,43
dfa/TTT,28,5,10,4,17531,1,36
dfa/dynamicTTT,29,5,10,2,22674,2,61
dfa/TTT,29,5,10,5,23609,2,76
dfa/dynamicTTT,30,5,10,2,29451,3,65
dfa/TTT,30,5,10,5,30476,3,79
dfa/dynamicTTT,31,5,10,2,29863,4,64
dfa/TTT,31,5,10,5,30888,4,64
