algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,5,10,1,1232,1,2
dfa/TTT,1,5,10,1,1232,1,4
dfa/dynamicTTT,3,5,10,1,1410,1,2
dfa/TTT,3,5,10,1,1232,1,2
dfa/dynamicTTT,5,5,10,1,1410,1,2
dfa/TTT,5,5,10,1,1232,1,2
dfa/dynamicTTT,7,5,10,1,1318,1,2
dfa/TTT,7,5,10,1,1232,1,2
dfa/dynamicTTT,9,5,10,1,1318,1,2
dfa/TTT,9,5,10,1,1232,1,2
dfa/dynamicTTT,11,5,10,1,1318,1,3
dfa/TTT,11,5,10,1,1232,1,2
dfa/dynamicTTT,13,5,10,1,1410,1,3
dfa/TTT,13,5,10,1,1232,1,2
dfa/dynamicTTT,15,5,10,1,1232,1,3
dfa/TTT,15,5,10,1,1232,1,2
dfa/dynamicTTT,17,5,10,1,1272,1,3
dfa/TTT,17,5,10,1,1232,1,2
dfa/dynamicTTT,19,5,10,1,1272,1,3
dfa/TTT,19,5,10,1,1232,1,3
dfa/dynamicTTT,21,5,10,1,1318,1,2
dfa/TTT,21,5,10,1,1232,1,2
dfa/dynamicTTT,23,5,10,1,1364,1,4
dfa/TTT,23,5,10,1,1232,1,3
dfa/dynamicTTT,25,5,10,1,1364,1,2
dfa/TTT,25,5,10,1,1232,1,3
dfa/dynamicTTT,27,5,10,1,1364,1,2
dfa/TTT,27,5,10,1,1232,1,2
dfa/dynamicTTT,29,5,10,1,1364,1,3
dfa/TTT,29,5,10,1,1232,1,2
dfa/dynamicTTT,31,5,10,1,1321,1,3
dfa/TTT,31,5,10,1,1232,1,2
dfa/dynamicTTT,33,5,10,1,1321,1,2
dfa/TTT,33,5,10,1,1232,1,3
dfa/dynamicTTT,35,5,10,1,1410,1,3
dfa/TTT,35,5,10,1,1232,1,2
dfa/dynamicTTT,37,5,10,1,1410,1,2
dfa/TTT,37,5,10,1,1232,1,2
dfa/dynamicTTT,39,5,10,1,1232,1,2
dfa/TTT,39,5,10,1,1232,1,3
