algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s5_1,5,10,1,18509,1,38
dfa/TTT,s5_1,5,10,4,18531,1,38
dfa/dynamicTTT,s5_2,5,10,1,24714,2,58
dfa/TTT,s5_2,5,10,4,24717,2,55
dfa/dynamicTTT,s5_3,5,10,1,31278,3,73
dfa/TTT,s5_3,5,10,4,31650,3,71
dfa/dynamicTTT,s5_4,5,10,1,37025,4,87
dfa/TTT,s5_4,5,10,4,37755,4,87
dfa/dynamicTTT,s5_5,5,10,1,45387,5,109
dfa/TTT,s5_5,5,10,4,46166,5,110
dfa/dynamicTTT,s5_6,5,10,1,54539,6,121
dfa/TTT,s5_6,5,10,4,55337,6,118
dfa/dynamicTTT,s5_7,5,10,1,64711,7,144
dfa/TTT,s5_7,5,10,4,65556,7,142
dfa/dynamicTTT,s5_8,5,10,1,70812,8,160
dfa/TTT,s5_8,5,10,4,71701,8,160
dfa/dynamicTTT,s5_9,5,10,1,82454,9,191
dfa/TTT,s5_9,5,10,4,83389,9,194
dfa/dynamicTTT,s5_10,5,10,1,18450,1,38
dfa/TTT,s5_10,5,10,4,18479,1,37
dfa/dynamicTTT,s5_11,5,10,1,23751,2,58
dfa/TTT,s5_11,5,10,4,23916,2,87
dfa/dynamicTTT,s5_12,5,10,1,27904,3,62
dfa/TTT,s5_12,5,10,4,28392,3,60
dfa/dynamicTTT,s5_13,5,10,1,35553,4,74
dfa/TTT,s5_13,5,10,4,36077,4,77
dfa/dynamicTTT,s5_14,5,10,1,43150,5,112
dfa/TTT,s5_14,5,10,4,43675,5,93
dfa/dynamicTTT,s5_15,5,10,1,52105,6,115
dfa/TTT,s5_15,5,10,4,52622,6,114
dfa/dynamicTTT,s5_16,5,10,1,62652,7,140
dfa/TTT,s5_16,5,10,4,63199,7,140
dfa/dynamicTTT,s5_17,5,10,1,73558,8,166
dfa/TTT,s5_17,5,10,4,74136,8,166
dfa/dynamicTTT,s5_18,5,10,1,85898,9,197
dfa/TTT,s5_18,5,10,4,86505,9,197
dfa/dynamicTTT,s5_19,5,10,1,18354,1,37
dfa/TTT,s5_19,5,10,4,18856,1,37
dfa/dynamicTTT,s5_20,5,10,1,22821,2,49
dfa/TTT,s5_20,5,10,4,22969,2,52
dfa/dynamicTTT,s5_21,5,10,1,28857,3,63
dfa/TTT,s5_21,5,10,4,29106,3,63
dfa/dynamicTTT,s5_22,5,10,1,35684,4,78
dfa/TTT,s5_22,5,10,4,35937,4,78
dfa/dynamicTTT,s5_23,5,10,1,43641,5,96
dfa/TTT,s5_23,5,10,4,43913,5,101
dfa/dynamicTTT,s5_24,5,10,1,52137,6,115
dfa/TTT,s5_24,5,10,4,52407,6,118
dfa/dynamicTTT,s5_25,5,10,1,62230,7,140
dfa/TTT,s5_25,5,10,4,62515,7,142
dfa/dynamicTTT,s5_26,5,10,1,73525,8,171
dfa/TTT,s5_26,5,10,4,73756,8,179
dfa/dynamicTTT,s5_27,5,10,1,85694,9,213
dfa/TTT,s5_27,5,10,4,85937,9,214
dfa/dynamicTTT,s5_28,5,10,1,17168,1,37
dfa/TTT,s5_28,5,10,4,17609,1,37
dfa/dynamicTTT,s5_29,5,10,1,21805,2,47
dfa/TTT,s5_29,5,10,4,22375,2,47
dfa/dynamicTTT,s5_30,5,10,1,27256,3,63
dfa/TTT,s5_30,5,10,4,27948,3,59
dfa/dynamicTTT,s5_31,5,10,1,33512,4,72
dfa/TTT,s5_31,5,10,4,34367,4,78
dfa/dynamicTTT,s5_32,5,10,1,40907,5,101
dfa/TTT,s5_32,5,10,4,41941,5,141
dfa/dynamicTTT,s5_33,5,10,1,49871,6,125
dfa/TTT,s5_33,5,10,4,51099,6,114
dfa/dynamicTTT,s5_34,5,10,1,59413,7,137
dfa/TTT,s5_34,5,10,4,60852,7,140
dfa/dynamicTTT,s5_35,5,10,1,70839,8,185
dfa/TTT,s5_35,5,10,4,71783,8,174
dfa/dynamicTTT,s5_36,5,10,1,82930,9,200
dfa/TTT,s5_36,5,10,4,83924,9,331
dfa/dynamicTTT,s5_37,5,10,1,19335,1,73
dfa/TTT,s5_37,5,10,4,20825,1,75
dfa/dynamicTTT,s5_38,5,10,1,23518,2,57
dfa/TTT,s5_38,5,10,4,24444,2,56
dfa/dynamicTTT,s5_39,5,10,1,29475,3,83
dfa/TTT,s5_39,5,10,4,29603,3,93
dfa/dynamicTTT,s5_40,5,10,1,36644,4,108
dfa/TTT,s5_40,5,10,4,36783,4,80
dfa/dynamicTTT,s5_41,5,10,1,44104,5,114
dfa/TTT,s5_41,5,10,4,44602,5,126
dfa/dynamicTTT,s5_42,5,10,1,53507,6,150
dfa/TTT,s5_42,5,10,4,54032,6,114
dfa/dynamicTTT,s5_43,5,10,1,64526,7,179
dfa/TTT,s5_43,5,10,4,65077,7,142
dfa/dynamicTTT,s5_44,5,10,1,76261,8,166
dfa/TTT,s5_44,5,10,4,76838,8,163
dfa/dynamicTTT,s5_45,5,10,1,90372,9,200
dfa/TTT,s5_45,5,10,4,90970,9,203
dfa/dynamicTTT,s5_46,5,10,1,21906,1,45
dfa/TTT,s5_46,5,10,4,23623,1,46
dfa/dynamicTTT,s5_47,5,10,1,27375,2,76
dfa/TTT,s5_47,5,10,4,29722,2,66
dfa/dynamicTTT,s5_48,5,10,1,31416,3,97
dfa/TTT,s5_48,5,10,4,31550,3,66
dfa/dynamicTTT,s5_49,5,10,1,38906,4,81
dfa/TTT,s5_49,5,10,4,39041,4,92
dfa/dynamicTTT,s5_50,5,10,1,47347,5,106
dfa/TTT,s5_50,5,10,4,47486,5,132
dfa/dynamicTTT,s5_51,5,10,1,56998,6,187
dfa/TTT,s5_51,5,10,4,57143,6,145
dfa/dynamicTTT,s5_52,5,10,1,68628,7,210
dfa/TTT,s5_52,5,10,4,68776,7,161
dfa/dynamicTTT,s5_53,5,10,1,82332,8,253
dfa/TTT,s5_53,5,10,4,82489,8,212
