algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s5_1,6,10,2,18945,1,20
dfa/TTT,s5_1,6,10,5,21128,1,20
dfa/dynamicTTT,s5_2,7,10,3,25002,2,25
dfa/TTT,s5_2,7,10,6,27403,2,26
dfa/dynamicTTT,s5_3,8,10,4,32508,3,31
dfa/TTT,s5_3,8,10,7,34933,3,32
dfa/dynamicTTT,s5_4,9,10,5,35224,4,37
dfa/TTT,s5_4,9,10,8,43478,4,41
dfa/dynamicTTT,s5_5,10,10,6,43530,5,42
dfa/TTT,s5_5,10,10,9,55980,5,52
dfa/dynamicTTT,s5_6,11,10,7,51480,6,49
dfa/TTT,s5_6,11,10,10,55089,6,54
dfa/dynamicTTT,s5_7,12,10,8,58867,7,56
dfa/TTT,s5_7,12,10,11,62850,7,60
dfa/dynamicTTT,s5_8,13,10,9,66310,8,62
dfa/TTT,s5_8,13,10,12,71597,8,69
dfa/dynamicTTT,s5_9,14,10,10,71745,9,67
dfa/TTT,s5_9,14,10,13,85558,9,79
dfa/dynamicTTT,s5_10,6,10,2,19929,1,20
dfa/TTT,s5_10,6,10,5,22077,1,20
dfa/dynamicTTT,s5_11,7,10,3,26672,2,26
dfa/TTT,s5_11,7,10,6,26491,2,24
dfa/dynamicTTT,s5_12,8,10,4,31673,3,30
dfa/TTT,s5_12,8,10,7,31417,3,29
dfa/dynamicTTT,s5_13,9,10,5,36135,4,33
dfa/TTT,s5_13,9,10,8,36614,4,33
dfa/dynamicTTT,s5_14,10,10,6,44186,5,43
dfa/TTT,s5_14,10,10,9,42612,5,40
dfa/dynamicTTT,s5_15,11,10,7,51477,6,48
dfa/TTT,s5_15,11,10,10,48384,6,46
dfa/dynamicTTT,s5_16,12,10,8,60124,7,58
dfa/TTT,s5_16,12,10,11,56061,7,51
dfa/dynamicTTT,s5_17,13,10,9,71586,8,63
dfa/TTT,s5_17,13,10,12,71317,8,64
dfa/dynamicTTT,s5_18,14,10,10,80811,9,74
dfa/TTT,s5_18,14,10,13,79480,9,71
dfa/dynamicTTT,s5_19,6,10,2,19309,1,20
dfa/TTT,s5_19,6,10,5,19948,1,19
dfa/dynamicTTT,s5_20,7,10,3,25795,2,25
dfa/TTT,s5_20,7,10,6,26883,2,24
dfa/dynamicTTT,s5_21,8,10,4,30499,3,40
dfa/TTT,s5_21,8,10,7,30698,3,29
dfa/dynamicTTT,s5_22,9,10,5,35420,4,38
dfa/TTT,s5_22,9,10,8,35620,4,34
dfa/dynamicTTT,s5_23,10,10,5,43147,5,40
dfa/TTT,s5_23,10,10,9,43588,5,40
dfa/dynamicTTT,s5_24,11,10,6,49167,6,45
dfa/TTT,s5_24,11,10,10,49404,6,46
dfa/dynamicTTT,s5_25,12,10,7,56501,7,52
dfa/TTT,s5_25,12,10,11,55755,7,51
dfa/dynamicTTT,s5_27,6,10,2,18722,1,19
dfa/TTT,s5_27,6,10,5,18852,1,19
dfa/dynamicTTT,s5_28,7,10,3,23027,2,25
dfa/TTT,s5_28,7,10,6,23157,2,22
dfa/dynamicTTT,s5_29,8,10,4,27655,3,28
dfa/TTT,s5_29,8,10,7,27786,3,26
dfa/dynamicTTT,s5_30,9,10,5,33203,4,33
dfa/TTT,s5_30,9,10,8,33165,4,33
dfa/dynamicTTT,s5_31,10,10,6,39633,5,39
dfa/TTT,s5_31,10,10,9,39705,5,41
dfa/dynamicTTT,s5_32,11,10,7,46672,6,45
dfa/TTT,s5_32,11,10,10,46737,6,45
dfa/dynamicTTT,s5_33,12,10,8,52886,7,51
dfa/TTT,s5_33,12,10,11,53018,7,50
dfa/dynamicTTT,s5_34,13,10,9,60182,8,60
dfa/TTT,s5_34,13,10,12,60926,8,57
dfa/dynamicTTT,s5_35,14,10,10,69912,9,68
dfa/TTT,s5_35,14,10,13,65741,9,64
dfa/dynamicTTT,s5_36,6,10,2,18991,1,20
dfa/TTT,s5_36,6,10,5,19067,1,20
dfa/dynamicTTT,s5_37,7,10,3,23622,2,24
dfa/TTT,s5_37,7,10,6,23699,2,24
dfa/dynamicTTT,s5_38,8,10,4,28145,3,39
dfa/TTT,s5_38,8,10,7,28063,3,29
dfa/dynamicTTT,s5_39,9,10,5,35230,4,33
dfa/TTT,s5_39,9,10,8,36010,4,34
dfa/dynamicTTT,s5_40,10,10,6,40307,5,50
dfa/TTT,s5_40,10,10,9,42558,5,42
dfa/dynamicTTT,s5_41,11,10,7,48443,6,46
dfa/TTT,s5_41,11,10,10,47413,6,46
dfa/dynamicTTT,s5_42,12,10,8,56346,7,65
dfa/TTT,s5_42,12,10,11,58189,7,55
dfa/dynamicTTT,s5_43,13,10,9,59842,8,54
dfa/dynamicTTT,s5_44,6,10,2,17457,1,18
dfa/TTT,s5_44,6,10,5,17833,1,18
dfa/dynamicTTT,s5_45,7,10,3,21821,2,22
dfa/TTT,s5_45,7,10,6,22198,2,22
dfa/dynamicTTT,s5_46,8,10,4,26353,3,27
dfa/TTT,s5_46,8,10,7,26547,3,26
dfa/dynamicTTT,s5_47,9,10,5,31221,4,30
dfa/TTT,s5_47,9,10,7,30847,4,29
dfa/dynamicTTT,s5_48,10,10,6,36644,5,34
dfa/TTT,s5_48,10,10,8,36272,5,36
dfa/dynamicTTT,s5_49,11,10,7,43187,6,40
dfa/TTT,s5_49,11,10,9,42114,6,39
dfa/dynamicTTT,s5_50,12,10,8,49784,7,47
dfa/TTT,s5_50,12,10,10,46718,7,45
dfa/dynamicTTT,s5_51,13,10,9,55079,8,52
dfa/TTT,s5_51,13,10,12,52773,8,51
dfa/dynamicTTT,s5_52,14,10,10,61713,9,58
dfa/TTT,s5_52,14,10,13,60963,9,58
dfa/dynamicTTT,s5_53,6,10,2,17883,1,21
dfa/TTT,s5_53,6,10,5,18177,1,18
dfa/dynamicTTT,s5_54,7,10,3,22254,2,23
dfa/TTT,s5_54,7,10,6,22552,2,22
dfa/dynamicTTT,s5_55,8,10,4,26587,3,26
dfa/TTT,s5_55,8,10,7,26801,3,26
dfa/dynamicTTT,s5_56,9,10,5,31790,4,47
dfa/TTT,s5_56,9,10,8,32004,4,34
dfa/dynamicTTT,s5_57,10,10,6,35824,5,36
dfa/TTT,s5_57,10,10,9,35824,5,35
dfa/dynamicTTT,s5_58,11,10,7,40935,6,43
dfa/TTT,s5_58,11,10,10,41330,6,42
dfa/dynamicTTT,s5_59,12,10,8,46797,7,48
dfa/TTT,s5_59,12,10,11,47181,7,49
dfa/dynamicTTT,s5_60,13,10,9,51944,8,52
dfa/TTT,s5_60,13,10,12,50871,8,53
dfa/dynamicTTT,s5_61,14,10,10,60792,9,62
dfa/TTT,s5_61,14,10,13,59607,9,60
dfa/dynamicTTT,s5_62,6,10,2,20752,1,22
dfa/TTT,s5_62,6,10,5,20861,1,20
dfa/dynamicTTT,s5_63,7,10,3,26189,2,25
dfa/TTT,s5_63,7,10,6,26284,2,24
dfa/dynamicTTT,s5_64,8,10,4,33570,3,32
dfa/TTT,s5_64,8,10,7,33665,3,31
dfa/dynamicTTT,s5_65,9,10,5,40890,4,37
dfa/TTT,s5_65,9,10,8,41137,4,38
dfa/dynamicTTT,s5_66,10,10,6,47236,5,44
dfa/TTT,s5_66,10,10,9,47568,5,43
dfa/dynamicTTT,s5_67,11,10,7,53898,6,49
dfa/TTT,s5_67,11,10,10,54272,6,48
dfa/dynamicTTT,s5_68,12,10,8,61078,7,56
dfa/TTT,s5_68,12,10,11,65777,7,59
dfa/dynamicTTT,s5_69,13,10,9,67712,8,63
dfa/TTT,s5_69,13,10,12,72806,8,67
dfa/dynamicTTT,s5_70,14,10,10,78968,9,70
dfa/TTT,s5_70,14,10,13,79808,9,70
dfa/dynamicTTT,s5_71,6,10,2,19594,1,20
dfa/TTT,s5_71,6,10,5,19832,1,19
dfa/dynamicTTT,s5_72,7,10,3,24860,2,24
dfa/TTT,s5_72,7,10,6,25099,2,24
dfa/dynamicTTT,s5_73,8,10,4,29919,3,27
dfa/TTT,s5_73,8,10,7,35326,3,33
dfa/dynamicTTT,s5_74,9,10,5,37510,4,33
dfa/TTT,s5_74,9,10,8,43459,4,37
dfa/dynamicTTT,s5_75,10,10,6,43281,5,40
dfa/TTT,s5_75,10,10,9,49644,5,44
dfa/dynamicTTT,s5_76,11,10,7,51356,6,45
dfa/TTT,s5_76,11,10,10,58313,6,51
