algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s100_1,100,10,1,810720,1,1378
dfa/TTT,s100_1,100,10,99,863075,1,1194
dfa/dynamicTTT,s100_2,100,10,1,810554,2,1301
dfa/TTT,s100_2,100,10,99,862830,2,1167
dfa/dynamicTTT,s100_3,100,10,1,810652,3,1178
dfa/TTT,s100_3,100,10,99,862906,3,1200
dfa/dynamicTTT,s100_4,100,10,1,810678,4,1194
dfa/TTT,s100_4,100,10,99,862865,4,1176
dfa/dynamicTTT,s100_5,100,10,1,810965,5,1083
dfa/TTT,s100_5,100,10,99,863128,5,880
dfa/dynamicTTT,s100_6,100,10,1,810955,6,1119
dfa/TTT,s100_6,100,10,99,862987,6,1141
dfa/dynamicTTT,s100_7,100,10,1,810696,7,1182
dfa/TTT,s100_7,100,10,99,862767,7,1111
dfa/dynamicTTT,s100_8,100,10,1,811617,8,1158
dfa/TTT,s100_8,100,10,99,864369,8,1071
dfa/dynamicTTT,s100_9,100,10,1,811701,9,1206
dfa/TTT,s100_9,100,10,99,864365,9,1304
dfa/dynamicTTT,s100_10,100,10,1,780169,1,1558
dfa/TTT,s100_10,100,10,99,887592,1,1399
dfa/dynamicTTT,s100_11,100,10,1,780776,2,1179
dfa/TTT,s100_11,100,10,99,889015,2,1081
dfa/dynamicTTT,s100_12,100,10,1,781502,3,1124
dfa/TTT,s100_12,100,10,99,889600,3,1009
dfa/dynamicTTT,s100_13,100,10,1,781535,4,907
dfa/TTT,s100_13,100,10,99,889490,4,1008
dfa/dynamicTTT,s100_14,100,10,1,781358,5,1080
dfa/TTT,s100_14,100,10,99,889147,5,1070
dfa/dynamicTTT,s100_15,100,10,2,783707,6,1097
dfa/TTT,s100_15,100,10,99,886515,6,1074
dfa/dynamicTTT,s100_16,100,10,2,784881,7,1117
dfa/TTT,s100_16,100,10,99,886857,7,1076
dfa/dynamicTTT,s100_17,100,10,2,784885,8,1169
dfa/TTT,s100_17,100,10,99,887038,8,1105
dfa/dynamicTTT,s100_18,100,10,2,784841,9,1145
dfa/TTT,s100_18,100,10,99,887374,9,1073
dfa/dynamicTTT,s100_19,100,10,1,796028,1,1186
dfa/TTT,s100_19,100,10,99,912736,1,1139
dfa/dynamicTTT,s100_20,100,10,1,796012,2,1164
dfa/TTT,s100_20,100,10,99,912282,2,961
dfa/dynamicTTT,s100_21,100,10,1,795868,3,1233
dfa/TTT,s100_21,100,10,99,912167,3,1136
dfa/dynamicTTT,s100_22,100,10,2,806955,4,1251
dfa/TTT,s100_22,100,10,99,910490,4,1156
dfa/dynamicTTT,s100_23,100,10,2,806790,5,1273
dfa/TTT,s100_23,100,10,99,910173,5,1144
dfa/dynamicTTT,s100_24,100,10,2,806772,6,1198
dfa/TTT,s100_24,100,10,99,910183,6,995
dfa/dynamicTTT,s100_25,100,10,3,807002,7,997
dfa/TTT,s100_25,100,10,99,905531,7,931
dfa/dynamicTTT,s100_26,100,10,3,806791,8,1000
dfa/TTT,s100_26,100,10,99,905488,8,927
dfa/dynamicTTT,s100_27,100,10,3,806805,9,1012
dfa/TTT,s100_27,100,10,99,905588,9,988
dfa/dynamicTTT,s100_28,100,10,1,791861,1,945
dfa/TTT,s100_28,100,10,98,922479,1,914
dfa/dynamicTTT,s100_29,100,10,2,795164,2,957
dfa/TTT,s100_29,100,10,98,922604,2,918
dfa/dynamicTTT,s100_30,100,10,2,795899,3,941
dfa/TTT,s100_30,100,10,98,923434,3,922
dfa/dynamicTTT,s100_31,100,10,3,799252,4,935
dfa/TTT,s100_31,100,10,98,923232,4,896
dfa/dynamicTTT,s100_32,100,10,3,787563,5,909
dfa/TTT,s100_32,100,10,98,907862,5,879
dfa/dynamicTTT,s100_33,100,10,3,787535,6,915
dfa/TTT,s100_33,100,10,98,907819,6,880
dfa/dynamicTTT,s100_34,100,10,3,787546,7,978
dfa/TTT,s100_34,100,10,98,907823,7,918
dfa/dynamicTTT,s100_35,100,10,3,788098,8,934
dfa/TTT,s100_35,100,10,98,908361,8,904
dfa/dynamicTTT,s100_36,100,10,4,787513,9,916
dfa/TTT,s100_36,100,10,98,905470,9,909
dfa/dynamicTTT,s100_37,100,10,1,773582,1,903
dfa/TTT,s100_37,100,10,99,829125,1,844
dfa/dynamicTTT,s100_38,100,10,1,773479,2,908
dfa/TTT,s100_38,100,10,99,830504,2,837
dfa/dynamicTTT,s100_39,100,10,1,773479,3,886
dfa/TTT,s100_39,100,10,99,830504,3,838
dfa/dynamicTTT,s100_40,100,10,1,773376,4,885
dfa/TTT,s100_40,100,10,99,847725,4,840
dfa/dynamicTTT,s100_41,100,10,1,773764,5,910
dfa/TTT,s100_41,100,10,99,848114,5,863
dfa/dynamicTTT,s100_42,100,10,1,773789,6,888
dfa/TTT,s100_42,100,10,99,846811,6,837
dfa/dynamicTTT,s100_43,100,10,1,774000,7,887
dfa/TTT,s100_43,100,10,99,848823,7,851
dfa/dynamicTTT,s100_44,100,10,1,772940,8,920
dfa/TTT,s100_44,100,10,99,845782,8,858
dfa/dynamicTTT,s100_45,100,10,2,797468,9,942
dfa/TTT,s100_45,100,10,99,866749,9,875
dfa/dynamicTTT,s100_46,100,10,1,774629,1,908
dfa/TTT,s100_46,100,10,97,877552,1,905
dfa/dynamicTTT,s100_47,100,10,1,774665,2,903
dfa/TTT,s100_47,100,10,97,877643,2,915
dfa/dynamicTTT,s100_48,100,10,1,774643,3,894
dfa/TTT,s100_48,100,10,97,877683,3,888
dfa/dynamicTTT,s100_49,100,10,1,774688,4,903
dfa/TTT,s100_49,100,10,97,877818,4,1004
dfa/dynamicTTT,s100_50,100,10,1,774725,5,930
dfa/TTT,s100_50,100,10,97,877792,5,921
dfa/dynamicTTT,s100_51,100,10,1,774815,6,961
dfa/TTT,s100_51,100,10,97,877955,6,966
dfa/dynamicTTT,s100_52,100,10,1,774926,7,954
dfa/TTT,s100_52,100,10,97,877940,7,948
dfa/dynamicTTT,s100_53,100,10,1,774734,8,1373
dfa/TTT,s100_53,100,10,97,877789,8,1058
dfa/dynamicTTT,s100_54,100,10,1,774615,9,1068
dfa/TTT,s100_54,100,10,97,876307,9,1012
dfa/dynamicTTT,s100_55,100,10,2,802789,1,950
dfa/TTT,s100_55,100,10,98,871136,1,898
dfa/dynamicTTT,s100_56,100,10,3,804669,2,942
dfa/TTT,s100_56,100,10,99,876751,2,950
dfa/dynamicTTT,s100_57,100,10,3,803394,3,943
dfa/TTT,s100_57,100,10,99,871554,3,928
dfa/dynamicTTT,s100_58,100,10,3,802549,4,957
dfa/TTT,s100_58,100,10,99,868842,4,995
dfa/dynamicTTT,s100_59,100,10,3,802624,5,946
dfa/TTT,s100_59,100,10,99,868932,5,925
dfa/dynamicTTT,s100_60,100,10,3,802643,6,956
dfa/TTT,s100_60,100,10,99,868940,6,905
dfa/dynamicTTT,s100_61,100,10,3,802796,7,1114
dfa/TTT,s100_61,100,10,99,868939,7,950
dfa/dynamicTTT,s100_62,100,10,3,802796,8,970
dfa/TTT,s100_62,100,10,99,868939,8,934
dfa/dynamicTTT,s100_63,100,10,3,802793,9,942
dfa/TTT,s100_63,100,10,99,868164,9,897
dfa/dynamicTTT,s100_64,100,10,2,783313,1,908
dfa/TTT,s100_64,100,10,99,877705,1,992
dfa/dynamicTTT,s100_65,100,10,2,783388,2,957
dfa/TTT,s100_65,100,10,99,879166,2,917
dfa/dynamicTTT,s100_66,100,10,3,784112,3,954
dfa/TTT,s100_66,100,10,99,879928,3,887
dfa/dynamicTTT,s100_67,100,10,3,785560,4,913
dfa/TTT,s100_67,100,10,99,879463,4,908
dfa/dynamicTTT,s100_68,100,10,4,787004,5,1068
dfa/TTT,s100_68,100,10,99,877556,5,978
dfa/dynamicTTT,s100_69,100,10,4,786976,6,864
dfa/TTT,s100_69,100,10,99,877532,6,891
dfa/dynamicTTT,s100_70,100,10,4,786929,7,889
dfa/TTT,s100_70,100,10,99,877426,7,940
dfa/dynamicTTT,s100_71,100,10,4,786801,8,1031
dfa/TTT,s100_71,100,10,99,877362,8,907
dfa/dynamicTTT,s100_72,100,10,4,786991,9,927
dfa/TTT,s100_72,100,10,99,877360,9,906
dfa/dynamicTTT,s100_73,100,10,1,777066,1,938
dfa/TTT,s100_73,100,10,97,875116,1,921
dfa/dynamicTTT,s100_74,100,10,1,777068,2,1051
dfa/TTT,s100_74,100,10,97,875137,2,936
dfa/dynamicTTT,s100_75,100,10,1,776910,3,976
dfa/TTT,s100_75,100,10,97,875062,3,968
dfa/dynamicTTT,s100_76,100,10,1,776905,4,1021
dfa/TTT,s100_76,100,10,97,875049,4,947
dfa/dynamicTTT,s100_77,100,10,1,777040,5,989
dfa/TTT,s100_77,100,10,97,875043,5,944
dfa/dynamicTTT,s100_78,100,10,1,777087,6,994
dfa/TTT,s100_78,100,10,97,873744,6,957
dfa/dynamicTTT,s100_79,100,10,2,778197,7,1005
dfa/TTT,s100_79,100,10,97,880376,7,962
dfa/dynamicTTT,s100_80,100,10,3,784272,8,945
dfa/TTT,s100_80,100,10,97,886418,8,909
dfa/dynamicTTT,s100_81,100,10,4,787191,9,939
dfa/TTT,s100_81,100,10,97,884794,9,920
dfa/dynamicTTT,s100_82,100,10,1,781438,1,924
dfa/TTT,s100_82,100,10,97,903265,1,886
dfa/dynamicTTT,s100_83,100,10,1,781393,2,930
dfa/TTT,s100_83,100,10,97,905330,2,904
dfa/dynamicTTT,s100_84,100,10,1,781296,3,957
dfa/TTT,s100_84,100,10,97,905222,3,897
dfa/dynamicTTT,s100_85,100,10,1,781351,4,921
dfa/TTT,s100_85,100,10,97,905215,4,868
dfa/dynamicTTT,s100_86,100,10,1,781329,5,940
dfa/TTT,s100_86,100,10,97,905391,5,879
dfa/dynamicTTT,s100_87,100,10,1,781328,6,930
dfa/TTT,s100_87,100,10,97,905395,6,891
dfa/dynamicTTT,s100_88,100,10,1,781395,7,922
dfa/TTT,s100_88,100,10,97,905508,7,891
dfa/dynamicTTT,s100_89,100,10,1,781219,8,928
dfa/TTT,s100_89,100,10,97,905288,8,886
dfa/dynamicTTT,s100_90,100,10,1,779896,9,892
dfa/TTT,s100_90,100,10,93,882112,9,852
dfa/dynamicTTT,s100_91,100,10,1,806878,1,953
dfa/TTT,s100_91,100,10,98,928871,1,903
dfa/dynamicTTT,s100_92,100,10,1,807013,2,915
dfa/TTT,s100_92,100,10,98,928714,2,870
dfa/dynamicTTT,s100_93,100,10,1,806865,3,913
dfa/TTT,s100_93,100,10,98,932851,3,902
dfa/dynamicTTT,s100_94,100,10,1,805784,4,934
dfa/TTT,s100_94,100,10,98,936163,4,920
dfa/dynamicTTT,s100_95,100,10,1,806006,5,937
dfa/TTT,s100_95,100,10,98,936322,5,880
dfa/dynamicTTT,s100_96,100,10,1,805804,6,922
dfa/TTT,s100_96,100,10,98,936000,6,879
dfa/dynamicTTT,s100_97,100,10,1,805896,7,982
dfa/TTT,s100_97,100,10,98,936078,7,939
dfa/dynamicTTT,s100_98,100,10,1,806314,8,949
dfa/TTT,s100_98,100,10,98,936468,8,969
dfa/dynamicTTT,s100_99,100,10,1,806281,9,960
dfa/TTT,s100_99,100,10,98,936317,9,911
dfa/dynamicTTT,s100_100,100,10,2,799491,1,920
dfa/TTT,s100_100,100,10,99,917842,1,884
