algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s100_1,100,10,1,1006011,1,1859
dfa/TTT,s100_1,100,10,93,1149765,1,1744
dfa/dynamicTTT,s100_2,101,10,2,1030000,2,1369
dfa/TTT,s100_2,101,10,94,1172513,2,1447
dfa/dynamicTTT,s100_3,101,10,4,1032059,3,2394
dfa/TTT,s100_3,101,10,94,1165170,3,2163
dfa/dynamicTTT,s100_4,102,10,5,1055446,4,2560
dfa/TTT,s100_4,102,10,95,1166972,4,2629
dfa/dynamicTTT,s100_5,102,10,5,1055264,5,2364
dfa/TTT,s100_5,102,10,95,1166823,5,1927
dfa/dynamicTTT,s100_6,102,10,5,1055403,6,1524
dfa/TTT,s100_6,102,10,95,1166870,6,1568
dfa/dynamicTTT,s100_7,102,10,5,1373352,7,2028
dfa/TTT,s100_7,102,10,99,1511345,7,1891
dfa/dynamicTTT,s100_8,103,10,6,1412093,8,1894
dfa/TTT,s100_8,103,10,100,1529605,8,2178
dfa/dynamicTTT,s100_9,103,10,7,1413686,9,2529
dfa/TTT,s100_9,103,10,100,1529534,9,2470
dfa/dynamicTTT,s100_10,101,10,2,793409,1,1622
dfa/TTT,s100_10,101,10,100,936475,1,1461
dfa/dynamicTTT,s100_11,101,10,2,1037466,2,1696
dfa/TTT,s100_11,101,10,100,1181928,2,1648
dfa/dynamicTTT,s100_12,102,10,3,1049976,3,1656
dfa/TTT,s100_12,102,10,101,1196777,3,1612
dfa/dynamicTTT,s100_13,102,10,3,1050001,4,1646
dfa/TTT,s100_13,102,10,101,1196920,4,1582
dfa/dynamicTTT,s100_14,102,10,3,1052841,5,1610
dfa/TTT,s100_14,102,10,101,1197532,5,1581
dfa/dynamicTTT,s100_15,102,10,3,1376580,6,1767
dfa/TTT,s100_15,102,10,99,1458778,6,1814
dfa/dynamicTTT,s100_16,102,10,3,1376519,7,2205
dfa/TTT,s100_16,102,10,99,1456357,7,2015
dfa/dynamicTTT,s100_17,103,10,4,1403548,8,2117
dfa/TTT,s100_17,103,10,100,1483272,8,1981
dfa/dynamicTTT,s100_18,103,10,4,1700158,9,2714
dfa/TTT,s100_18,103,10,100,1778143,9,2827
dfa/dynamicTTT,s100_19,100,10,1,1005289,1,1628
dfa/TTT,s100_19,100,10,96,1137758,1,1656
dfa/dynamicTTT,s100_20,101,10,3,1050395,2,1585
dfa/TTT,s100_20,101,10,97,1180930,2,2568
dfa/dynamicTTT,s100_21,101,10,4,1028632,3,2468
dfa/TTT,s100_21,101,10,97,1152923,3,2141
dfa/dynamicTTT,s100_22,101,10,4,1028735,4,2393
dfa/TTT,s100_22,101,10,97,1153030,4,1962
dfa/dynamicTTT,s100_23,102,10,5,1047168,5,2040
dfa/TTT,s100_23,102,10,98,1174920,5,2084
dfa/dynamicTTT,s100_24,103,10,6,1074343,6,2036
dfa/TTT,s100_24,103,10,99,1200946,6,2039
dfa/dynamicTTT,s100_25,103,10,7,1074351,7,2119
dfa/TTT,s100_25,103,10,99,1194375,7,2033
dfa/dynamicTTT,s100_26,103,10,7,1401860,8,2596
dfa/TTT,s100_26,103,10,98,1481041,8,2209
dfa/dynamicTTT,s100_27,103,10,7,1772260,9,2613
dfa/TTT,s100_27,103,10,99,1852474,9,2369
dfa/dynamicTTT,s100_28,100,10,2,804747,1,1127
dfa/TTT,s100_28,100,10,98,884843,1,1048
dfa/dynamicTTT,s100_29,100,10,3,805118,2,1026
dfa/TTT,s100_29,100,10,99,889015,2,1009
dfa/dynamicTTT,s100_30,101,10,4,822578,3,1069
dfa/TTT,s100_30,101,10,100,907261,3,1022
dfa/dynamicTTT,s100_31,101,10,5,824699,4,1073
dfa/TTT,s100_31,101,10,100,907391,4,1015
dfa/dynamicTTT,s100_32,101,10,5,1069255,5,1374
dfa/TTT,s100_32,101,10,100,1150287,5,1290
dfa/dynamicTTT,s100_33,101,10,5,1338972,6,1731
dfa/TTT,s100_33,101,10,99,1421408,6,1590
dfa/dynamicTTT,s100_34,102,10,7,1354667,7,1659
dfa/TTT,s100_34,102,10,97,1436128,7,1573
dfa/dynamicTTT,s100_35,102,10,7,1684318,8,2024
dfa/TTT,s100_35,102,10,100,1806182,8,1892
dfa/dynamicTTT,s100_36,102,10,7,2101804,9,2460
dfa/TTT,s100_36,102,10,100,2226631,9,2313
dfa/dynamicTTT,s100_37,100,10,1,790449,1,931
dfa/TTT,s100_37,100,10,98,903774,1,863
dfa/dynamicTTT,s100_38,100,10,1,790864,2,930
dfa/TTT,s100_38,100,10,98,903270,2,861
dfa/dynamicTTT,s100_39,100,10,1,790762,3,944
dfa/TTT,s100_39,100,10,98,903229,3,914
dfa/dynamicTTT,s100_40,101,10,3,804377,4,974
dfa/TTT,s100_40,101,10,99,892415,4,901
dfa/dynamicTTT,s100_41,102,10,4,824708,5,960
dfa/TTT,s100_41,102,10,100,910482,5,929
dfa/dynamicTTT,s100_42,103,10,5,845599,6,999
dfa/TTT,s100_42,103,10,101,928306,6,919
dfa/dynamicTTT,s100_43,103,10,5,1085715,7,1294
dfa/TTT,s100_43,103,10,101,1203877,7,1215
dfa/dynamicTTT,s100_44,104,10,7,1100648,8,1300
dfa/TTT,s100_44,104,10,102,1226344,8,1244
dfa/dynamicTTT,s100_45,104,10,7,1102437,9,1294
dfa/TTT,s100_45,104,10,102,1215229,9,1216
dfa/dynamicTTT,s100_46,101,10,2,820024,1,921
dfa/TTT,s100_46,101,10,98,922986,1,910
dfa/dynamicTTT,s100_47,102,10,3,841052,2,936
dfa/TTT,s100_47,102,10,99,943992,2,946
dfa/dynamicTTT,s100_48,102,10,3,840580,3,960
dfa/TTT,s100_48,102,10,99,937833,3,1265
dfa/dynamicTTT,s100_49,102,10,3,1092353,4,1392
dfa/TTT,s100_49,102,10,98,1183731,4,1187
dfa/dynamicTTT,s100_50,103,10,4,1102142,5,1275
dfa/TTT,s100_50,103,10,99,1193217,5,1185
dfa/dynamicTTT,s100_51,103,10,5,1101824,6,1257
dfa/TTT,s100_51,103,10,99,1194415,6,1214
dfa/dynamicTTT,s100_52,103,10,5,1101860,7,1277
dfa/TTT,s100_52,103,10,99,1194438,7,1195
dfa/dynamicTTT,s100_53,104,10,6,1113580,8,1294
dfa/TTT,s100_53,104,10,100,1206671,8,1224
dfa/dynamicTTT,s100_54,104,10,6,1113629,9,1359
dfa/TTT,s100_54,104,10,100,1206710,9,1284
dfa/dynamicTTT,s100_55,100,10,1,1030901,1,1236
dfa/TTT,s100_55,100,10,97,1125586,1,1158
dfa/dynamicTTT,s100_56,100,10,1,1324781,2,1649
dfa/TTT,s100_56,100,10,94,1391078,2,1467
dfa/dynamicTTT,s100_57,100,10,2,1328218,3,1636
dfa/TTT,s100_57,100,10,94,1393012,3,1441
dfa/dynamicTTT,s100_58,100,10,2,1328267,4,1617
dfa/TTT,s100_58,100,10,94,1393037,4,1421
dfa/dynamicTTT,s100_59,100,10,2,1328333,5,1697
dfa/TTT,s100_59,100,10,94,1391566,5,1470
dfa/dynamicTTT,s100_60,100,10,2,1649047,6,2032
dfa/TTT,s100_60,100,10,97,1784770,6,1873
dfa/dynamicTTT,s100_61,100,10,2,1995790,7,2521
dfa/TTT,s100_61,100,10,99,2201018,7,2348
dfa/dynamicTTT,s100_62,101,10,2,2012944,8,2565
dfa/TTT,s100_62,101,10,100,2228487,8,2437
dfa/dynamicTTT,s100_63,101,10,2,2012958,9,2603
dfa/TTT,s100_63,101,10,100,2228452,9,2392
dfa/dynamicTTT,s100_64,100,10,1,782265,1,884
dfa/TTT,s100_64,100,10,99,925778,1,887
dfa/dynamicTTT,s100_65,100,10,1,782256,2,883
dfa/TTT,s100_65,100,10,99,924500,2,913
dfa/dynamicTTT,s100_66,100,10,1,1027204,3,1150
dfa/TTT,s100_66,100,10,99,1180031,3,1239
dfa/dynamicTTT,s100_67,100,10,1,1339663,4,1683
dfa/TTT,s100_67,100,10,98,1494790,4,1563
dfa/dynamicTTT,s100_68,100,10,1,1636500,5,1882
dfa/TTT,s100_68,100,10,97,1789503,5,1877
dfa/dynamicTTT,s100_69,100,10,1,2018651,6,2325
dfa/TTT,s100_69,100,10,98,2098194,6,2259
dfa/dynamicTTT,s100_70,100,10,1,2018615,7,2340
dfa/TTT,s100_70,100,10,98,2098243,7,2255
dfa/dynamicTTT,s100_71,100,10,1,2019369,8,2323
dfa/TTT,s100_71,100,10,98,2098747,8,2231
dfa/dynamicTTT,s100_72,101,10,3,2043391,9,2436
dfa/TTT,s100_72,101,10,99,2137676,9,2342
dfa/dynamicTTT,s100_73,100,10,1,1012163,1,1220
dfa/TTT,s100_73,100,10,98,1138389,1,1177
dfa/dynamicTTT,s100_74,101,10,2,1032994,2,1257
dfa/TTT,s100_74,101,10,99,1159011,2,1216
dfa/dynamicTTT,s100_75,102,10,3,1048833,3,1249
dfa/TTT,s100_75,102,10,100,1174120,3,1193
dfa/dynamicTTT,s100_76,103,10,4,1067761,4,1304
dfa/TTT,s100_76,103,10,102,1218163,4,1218
dfa/dynamicTTT,s100_77,104,10,5,1085136,5,1268
dfa/TTT,s100_77,104,10,101,1201174,5,1202
dfa/dynamicTTT,s100_78,104,10,5,1085266,6,1254
dfa/TTT,s100_78,104,10,101,1201418,6,1204
dfa/dynamicTTT,s100_79,104,10,5,1380345,7,1583
dfa/TTT,s100_79,104,10,101,1534398,7,1531
dfa/dynamicTTT,s100_80,104,10,5,1721032,8,2059
dfa/TTT,s100_80,104,10,103,1831295,8,1975
dfa/dynamicTTT,s100_81,104,10,5,1720989,9,2163
dfa/TTT,s100_81,104,10,103,1831449,9,2003
dfa/dynamicTTT,s100_82,100,10,2,796703,1,902
dfa/TTT,s100_82,100,10,95,922214,1,912
dfa/dynamicTTT,s100_83,100,10,2,797254,2,1035
dfa/TTT,s100_83,100,10,95,922081,2,971
dfa/dynamicTTT,s100_84,100,10,2,797215,3,919
dfa/TTT,s100_84,100,10,95,921920,3,934
dfa/dynamicTTT,s100_85,100,10,2,797159,4,915
dfa/TTT,s100_85,100,10,95,921869,4,914
dfa/dynamicTTT,s100_86,101,10,4,819496,5,896
dfa/TTT,s100_86,101,10,96,940733,5,895
dfa/dynamicTTT,s100_87,101,10,4,1030129,6,1161
dfa/TTT,s100_87,101,10,98,1160356,6,1148
dfa/dynamicTTT,s100_88,102,10,5,1048127,7,1174
dfa/TTT,s100_88,102,10,99,1179188,7,1166
dfa/dynamicTTT,s100_89,102,10,5,1365254,8,1542
dfa/TTT,s100_89,102,10,97,1487057,8,1588
dfa/dynamicTTT,s100_90,103,10,6,1376850,9,1832
dfa/TTT,s100_90,103,10,100,1516585,9,1703
dfa/dynamicTTT,s100_91,100,10,1,987960,1,1388
dfa/TTT,s100_91,112,10,110,1352595,1,1504
dfa/dynamicTTT,s100_92,101,10,2,1006525,2,1255
