algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s5_1,5,10,2,10183,1,18
dfa/TTT,s5_1,5,10,4,10244,1,13
dfa/dynamicTTT,s5_2,5,10,2,7396,2,8
dfa/TTT,s5_2,5,10,4,7449,2,7
dfa/dynamicTTT,s5_3,5,10,2,5143,3,4
dfa/TTT,s5_3,5,10,4,5194,3,5
dfa/dynamicTTT,s5_4,5,10,2,3370,4,4
dfa/TTT,s5_4,5,10,4,3413,4,4
dfa/dynamicTTT,s5_5,5,10,2,2075,5,1
dfa/TTT,s5_5,5,10,4,2110,5,1
dfa/dynamicTTT,s5_6,5,10,3,1145,6,1
dfa/TTT,s5_6,5,10,4,1161,6,1
dfa/dynamicTTT,s5_7,5,10,4,634,7,0
dfa/TTT,s5_7,5,10,4,634,7,1
dfa/dynamicTTT,s5_8,2,10,1,43,8,0
dfa/TTT,s5_8,2,10,1,40,8,0
dfa/dynamicTTT,s5_9,2,10,1,12,9,0
dfa/TTT,s5_9,2,10,1,12,9,0
dfa/dynamicTTT,s5_10,5,10,1,10608,1,10
dfa/TTT,s5_10,5,10,4,10734,1,11
dfa/dynamicTTT,s5_11,5,10,4,7893,2,8
dfa/TTT,s5_11,5,10,4,7893,2,7
dfa/dynamicTTT,s5_12,5,10,4,5504,3,5
dfa/TTT,s5_12,5,10,4,5504,3,5
dfa/dynamicTTT,s5_13,5,10,4,3641,4,4
dfa/TTT,s5_13,5,10,4,3641,4,3
dfa/dynamicTTT,s5_14,5,10,4,2311,5,2
dfa/TTT,s5_14,5,10,4,2311,5,2
dfa/dynamicTTT,s5_15,5,10,4,1377,6,1
dfa/TTT,s5_15,5,10,4,1377,6,1
dfa/dynamicTTT,s5_16,5,10,4,692,7,1
dfa/TTT,s5_16,5,10,4,692,7,0
dfa/dynamicTTT,s5_17,4,10,2,148,8,1
dfa/TTT,s5_17,4,10,3,152,8,0
dfa/dynamicTTT,s5_18,4,10,2,44,9,0
dfa/TTT,s5_18,4,10,3,47,9,0
dfa/dynamicTTT,s5_19,5,10,1,10167,1,11
dfa/TTT,s5_19,5,10,4,10246,1,11
dfa/dynamicTTT,s5_20,5,10,1,7314,2,10
dfa/TTT,s5_20,5,10,4,7389,2,7
dfa/dynamicTTT,s5_21,5,10,1,5091,3,5
dfa/TTT,s5_21,5,10,4,5163,3,5
dfa/dynamicTTT,s5_22,5,10,1,3341,4,3
dfa/TTT,s5_22,5,10,4,3409,4,3
dfa/dynamicTTT,s5_23,5,10,1,2034,5,2
dfa/TTT,s5_23,5,10,4,2111,5,2
dfa/dynamicTTT,s5_24,5,10,1,1102,6,0
dfa/TTT,s5_24,5,10,4,1173,6,1
dfa/dynamicTTT,s5_25,5,10,1,525,7,0
dfa/TTT,s5_25,5,10,4,605,7,0
dfa/dynamicTTT,s5_26,5,10,3,272,8,1
dfa/TTT,s5_26,5,10,4,276,8,0
dfa/dynamicTTT,s5_27,1,10,1,8,9,0
dfa/TTT,s5_27,1,10,1,8,9,0
dfa/dynamicTTT,s5_28,5,10,1,10839,1,10
dfa/TTT,s5_28,5,10,4,12860,1,12
dfa/dynamicTTT,s5_29,5,10,3,8440,2,8
dfa/TTT,s5_29,5,10,4,8447,2,8
dfa/dynamicTTT,s5_30,5,10,3,5850,3,5
dfa/TTT,s5_30,5,10,4,5857,3,5
dfa/dynamicTTT,s5_31,5,10,4,4061,4,4
dfa/TTT,s5_31,5,10,4,4061,4,3
dfa/dynamicTTT,s5_32,5,10,4,2559,5,2
dfa/TTT,s5_32,5,10,4,2559,5,3
dfa/dynamicTTT,s5_33,5,10,4,1556,6,2
dfa/TTT,s5_33,5,10,4,1556,6,1
dfa/dynamicTTT,s5_34,5,10,4,797,7,1
dfa/TTT,s5_34,5,10,4,797,7,1
dfa/dynamicTTT,s5_35,5,10,4,374,8,1
dfa/TTT,s5_35,5,10,4,374,8,0
dfa/dynamicTTT,s5_36,1,10,1,8,9,0
dfa/TTT,s5_36,1,10,1,8,9,0
dfa/dynamicTTT,s5_37,5,10,1,9694,1,11
dfa/TTT,s5_37,5,10,4,10359,1,11
dfa/dynamicTTT,s5_38,5,10,1,7074,2,7
dfa/TTT,s5_38,5,10,4,7646,2,8
dfa/dynamicTTT,s5_39,5,10,1,4902,3,5
dfa/TTT,s5_39,5,10,4,5407,3,5
dfa/dynamicTTT,s5_40,5,10,1,3218,4,3
dfa/TTT,s5_40,5,10,4,3623,4,3
dfa/dynamicTTT,s5_41,5,10,2,2094,5,2
dfa/TTT,s5_41,5,10,4,2170,5,2
