algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s50_1,49,10,5,313230,1,635
dfa/TTT,s50_1,49,10,47,340703,1,650
dfa/dynamicTTT,s50_2,48,10,7,315476,2,628
dfa/TTT,s50_2,48,10,47,353627,2,627
dfa/dynamicTTT,s50_3,47,10,8,314630,3,623
dfa/TTT,s50_3,47,10,46,345842,3,620
dfa/dynamicTTT,s50_4,46,10,9,300987,4,604
dfa/TTT,s50_4,46,10,45,337556,4,597
dfa/dynamicTTT,s50_5,45,10,10,311068,5,606
dfa/TTT,s50_5,45,10,44,335870,5,620
dfa/dynamicTTT,s50_6,44,10,10,305385,6,612
dfa/TTT,s50_6,44,10,43,314644,6,578
dfa/dynamicTTT,s50_7,43,10,9,295362,7,598
dfa/TTT,s50_7,43,10,42,295676,7,575
dfa/dynamicTTT,s50_8,42,10,9,277689,8,682
dfa/TTT,s50_8,42,10,41,284155,8,580
dfa/dynamicTTT,s50_9,41,10,9,259348,9,634
dfa/TTT,s50_9,41,10,40,269017,9,509
dfa/dynamicTTT,s50_10,49,10,1,325922,1,634
dfa/TTT,s50_10,49,10,47,343191,1,635
dfa/dynamicTTT,s50_11,48,10,2,320290,2,646
dfa/TTT,s50_11,48,10,46,335633,2,639
dfa/dynamicTTT,s50_12,47,10,2,310287,3,698
dfa/TTT,s50_12,47,10,45,334107,3,616
dfa/dynamicTTT,s50_13,46,10,5,305133,4,680
dfa/TTT,s50_13,46,10,44,317366,4,1170
dfa/dynamicTTT,s50_14,45,10,5,299776,5,718
dfa/TTT,s50_14,45,10,44,318729,5,657
dfa/dynamicTTT,s50_15,44,10,12,293866,6,740
dfa/TTT,s50_15,44,10,43,301289,6,596
dfa/dynamicTTT,s50_16,43,10,10,291729,7,709
dfa/TTT,s50_16,43,10,42,303985,7,628
dfa/dynamicTTT,s50_17,42,10,9,277972,8,550
dfa/TTT,s50_17,42,10,41,292012,8,543
dfa/dynamicTTT,s50_18,41,10,10,277919,9,586
dfa/TTT,s50_18,41,10,40,294019,9,536
dfa/dynamicTTT,s50_19,49,10,2,319648,1,630
dfa/TTT,s50_19,49,10,48,344347,1,620
dfa/dynamicTTT,s50_20,48,10,6,319598,2,659
dfa/TTT,s50_20,48,10,47,339664,2,609
dfa/dynamicTTT,s50_21,47,10,7,313695,3,609
dfa/TTT,s50_21,47,10,46,331094,3,587
dfa/dynamicTTT,s50_22,46,10,8,307194,4,603
dfa/TTT,s50_22,46,10,45,321873,4,573
dfa/dynamicTTT,s50_23,45,10,9,297992,5,582
dfa/TTT,s50_23,45,10,43,323133,5,567
dfa/dynamicTTT,s50_24,44,10,9,286991,6,569
dfa/TTT,s50_24,44,10,42,313977,6,563
dfa/dynamicTTT,s50_25,43,10,9,281009,7,567
dfa/TTT,s50_25,43,10,41,296351,7,572
dfa/dynamicTTT,s50_26,42,10,11,267844,8,526
dfa/TTT,s50_26,42,10,41,280513,8,512
dfa/dynamicTTT,s50_27,41,10,10,262765,9,526
dfa/TTT,s50_27,41,10,40,271561,9,590
dfa/dynamicTTT,s50_28,49,10,13,388927,1,716
dfa/TTT,s50_28,49,10,48,388178,1,779
dfa/dynamicTTT,s50_29,48,10,14,383844,2,696
dfa/TTT,s50_29,48,10,46,368088,2,654
dfa/dynamicTTT,s50_30,47,10,14,372725,3,668
dfa/TTT,s50_30,47,10,45,359865,3,631
dfa/dynamicTTT,s50_31,46,10,13,358982,4,647
dfa/TTT,s50_31,46,10,43,352004,4,625
dfa/dynamicTTT,s50_32,45,10,14,358006,5,795
dfa/TTT,s50_32,45,10,44,344763,5,616
dfa/dynamicTTT,s50_33,44,10,13,350284,6,648
dfa/TTT,s50_33,44,10,42,353834,6,618
dfa/dynamicTTT,s50_34,43,10,15,348209,7,642
dfa/TTT,s50_34,43,10,41,345979,7,601
dfa/dynamicTTT,s50_35,42,10,17,326865,8,615
dfa/TTT,s50_35,42,10,40,325992,8,572
dfa/dynamicTTT,s50_36,41,10,16,319899,9,583
dfa/TTT,s50_36,41,10,39,323584,9,575
dfa/dynamicTTT,s50_37,49,10,3,320408,1,650
dfa/TTT,s50_37,49,10,48,353538,1,709
dfa/dynamicTTT,s50_38,48,10,3,310736,2,614
dfa/TTT,s50_38,48,10,47,344264,2,621
dfa/dynamicTTT,s50_39,47,10,4,304059,3,647
dfa/TTT,s50_39,47,10,46,333982,3,629
dfa/dynamicTTT,s50_40,46,10,7,296114,4,596
dfa/TTT,s50_40,46,10,45,318100,4,603
dfa/dynamicTTT,s50_41,45,10,8,290862,5,579
dfa/TTT,s50_41,45,10,44,310718,5,579
dfa/dynamicTTT,s50_42,44,10,10,284796,6,563
dfa/TTT,s50_42,44,10,43,299217,6,552
dfa/dynamicTTT,s50_43,43,10,10,276253,7,536
dfa/TTT,s50_43,43,10,41,288523,7,532
dfa/dynamicTTT,s50_44,42,10,12,276058,8,536
dfa/TTT,s50_44,42,10,41,286998,8,522
dfa/dynamicTTT,s50_45,41,10,13,270045,9,518
dfa/TTT,s50_45,41,10,40,275113,9,504
dfa/dynamicTTT,s50_46,49,10,4,330908,1,654
dfa/TTT,s50_46,49,10,48,342366,1,626
dfa/dynamicTTT,s50_47,48,10,6,326540,2,640
dfa/TTT,s50_47,48,10,47,334474,2,615
dfa/dynamicTTT,s50_48,47,10,8,314453,3,622
dfa/TTT,s50_48,47,10,45,323413,3,601
dfa/dynamicTTT,s50_49,46,10,7,304742,4,606
dfa/TTT,s50_49,46,10,44,314581,4,587
dfa/dynamicTTT,s50_50,45,10,6,296023,5,597
dfa/TTT,s50_50,45,10,44,315101,5,584
dfa/dynamicTTT,s50_51,44,10,6,293630,6,585
dfa/TTT,s50_51,44,10,43,306475,6,566
dfa/dynamicTTT,s50_52,43,10,6,293241,7,578
dfa/TTT,s50_52,43,10,41,299241,7,556
dfa/dynamicTTT,s50_53,42,10,6,281089,8,558
dfa/TTT,s50_53,42,10,41,291669,8,533
dfa/dynamicTTT,s50_54,41,10,8,274627,9,545
dfa/TTT,s50_54,41,10,40,283102,9,516
dfa/dynamicTTT,s50_55,49,10,2,336026,1,665
dfa/TTT,s50_55,49,10,47,365081,1,654
dfa/dynamicTTT,s50_56,48,10,4,321092,2,638
dfa/TTT,s50_56,48,10,46,349956,2,635
dfa/dynamicTTT,s50_57,47,10,6,314897,3,619
dfa/TTT,s50_57,47,10,46,329958,3,599
dfa/dynamicTTT,s50_58,46,10,7,304660,4,607
dfa/TTT,s50_58,46,10,45,319598,4,595
dfa/dynamicTTT,s50_59,45,10,9,296506,5,586
dfa/TTT,s50_59,45,10,44,302738,5,584
dfa/dynamicTTT,s50_60,44,10,10,287324,6,569
dfa/TTT,s50_60,44,10,42,292490,6,550
dfa/dynamicTTT,s50_61,43,10,10,270865,7,648
dfa/TTT,s50_61,43,10,42,285032,7,520
dfa/dynamicTTT,s50_62,42,10,9,263192,8,509
dfa/TTT,s50_62,42,10,41,277104,8,507
dfa/dynamicTTT,s50_63,41,10,9,257266,9,511
dfa/TTT,s50_63,41,10,40,267922,9,713
dfa/dynamicTTT,s50_64,49,10,4,330135,1,674
dfa/TTT,s50_64,49,10,48,367088,1,790
dfa/dynamicTTT,s50_65,48,10,5,327277,2,752
dfa/TTT,s50_65,48,10,46,343311,2,649
dfa/dynamicTTT,s50_66,47,10,6,323352,3,656
dfa/TTT,s50_66,47,10,45,334566,3,633
dfa/dynamicTTT,s50_67,46,10,5,307266,4,703
dfa/TTT,s50_67,46,10,44,317733,4,701
dfa/dynamicTTT,s50_68,45,10,9,302490,5,622
dfa/TTT,s50_68,45,10,42,315655,5,654
dfa/dynamicTTT,s50_69,44,10,9,286350,6,593
dfa/TTT,s50_69,44,10,42,303345,6,578
dfa/dynamicTTT,s50_70,43,10,8,276516,7,565
dfa/TTT,s50_70,43,10,41,290385,7,547
dfa/dynamicTTT,s50_71,42,10,9,276262,8,569
dfa/TTT,s50_71,42,10,40,287263,8,560
dfa/dynamicTTT,s50_72,41,10,10,279645,9,557
dfa/TTT,s50_72,41,10,39,282122,9,511
dfa/dynamicTTT,s50_73,49,10,1,327976,1,674
dfa/TTT,s50_73,49,10,47,362441,1,646
dfa/dynamicTTT,s50_74,48,10,3,323250,2,656
dfa/TTT,s50_74,48,10,45,345556,2,649
dfa/dynamicTTT,s50_75,47,10,4,314326,3,641
dfa/TTT,s50_75,47,10,44,336922,3,620
dfa/dynamicTTT,s50_76,46,10,6,308806,4,619
dfa/TTT,s50_76,46,10,43,328518,4,608
dfa/dynamicTTT,s50_77,45,10,5,300589,5,606
dfa/TTT,s50_77,45,10,42,328217,5,602
dfa/dynamicTTT,s50_78,44,10,6,295500,6,591
dfa/TTT,s50_78,44,10,41,317595,6,577
dfa/dynamicTTT,s50_79,43,10,7,287444,7,583
dfa/TTT,s50_79,43,10,38,307773,7,565
dfa/dynamicTTT,s50_80,42,10,7,282756,8,566
dfa/TTT,s50_80,42,10,37,292736,8,540
dfa/dynamicTTT,s50_81,41,10,8,282204,9,726
dfa/TTT,s50_81,41,10,38,294076,9,543
dfa/dynamicTTT,s50_82,49,10,5,333040,1,707
dfa/TTT,s50_82,49,10,47,352891,1,653
dfa/dynamicTTT,s50_83,48,10,6,320632,2,627
dfa/TTT,s50_83,48,10,46,335646,2,656
dfa/dynamicTTT,s50_84,47,10,6,317438,3,711
dfa/TTT,s50_84,47,10,45,334531,3,612
dfa/dynamicTTT,s50_85,46,10,7,310086,4,602
dfa/TTT,s50_85,46,10,44,328067,4,598
dfa/dynamicTTT,s50_86,45,10,8,303039,5,590
dfa/TTT,s50_86,45,10,43,320203,5,583
dfa/dynamicTTT,s50_87,44,10,10,301118,6,293
dfa/TTT,s50_87,44,10,42,306905,6,285
dfa/dynamicTTT,s50_88,43,10,12,298685,7,294
dfa/TTT,s50_88,43,10,41,289147,7,270
dfa/dynamicTTT,s50_89,42,10,12,288639,8,295
dfa/TTT,s50_89,42,10,40,278594,8,260
dfa/dynamicTTT,s50_90,41,10,12,279331,9,327
dfa/TTT,s50_90,41,10,39,273707,9,273
dfa/dynamicTTT,s50_91,49,10,5,346832,1,338
dfa/TTT,s50_91,49,10,46,361412,1,339
dfa/dynamicTTT,s50_92,48,10,6,345411,2,338
dfa/TTT,s50_92,48,10,45,356704,2,330
dfa/dynamicTTT,s50_93,47,10,7,334037,3,327
dfa/TTT,s50_93,47,10,46,340389,3,317
dfa/dynamicTTT,s50_94,46,10,7,315287,4,319
dfa/TTT,s50_94,46,10,45,326610,4,307
dfa/dynamicTTT,s50_95,45,10,7,306534,5,374
dfa/TTT,s50_95,45,10,44,316657,5,298
dfa/dynamicTTT,s50_96,44,10,7,298773,6,299
dfa/TTT,s50_96,44,10,43,309936,6,294
dfa/dynamicTTT,s50_97,43,10,8,292005,7,292
dfa/TTT,s50_97,43,10,42,298471,7,285
dfa/dynamicTTT,s50_98,42,10,10,282065,8,281
dfa/TTT,s50_98,42,10,41,289152,8,276
dfa/dynamicTTT,s50_99,41,10,10,277995,9,279
dfa/TTT,s50_99,41,10,40,282974,9,268
dfa/dynamicTTT,s50_100,49,10,4,341657,1,328
dfa/TTT,s50_100,49,10,48,359494,1,332
dfa/dynamicTTT,s50_101,48,10,5,329210,2,329
dfa/TTT,s50_101,48,10,46,361835,2,333
dfa/dynamicTTT,s50_102,47,10,5,317686,3,383
dfa/TTT,s50_102,47,10,45,346766,3,325
dfa/dynamicTTT,s50_103,46,10,6,316077,4,308
dfa/TTT,s50_103,46,10,45,318843,4,336
dfa/dynamicTTT,s50_104,45,10,7,310379,5,299
dfa/TTT,s50_104,45,10,44,315452,5,329
dfa/dynamicTTT,s50_105,44,10,7,302838,6,295
dfa/TTT,s50_105,44,10,43,305231,6,349
dfa/dynamicTTT,s50_106,43,10,7,290867,7,281
dfa/TTT,s50_106,43,10,41,291887,7,271
dfa/dynamicTTT,s50_107,42,10,9,287979,8,278
dfa/dynamicTTT,s50_108,49,10,3,334558,1,346
dfa/TTT,s50_108,49,10,47,367441,1,330
dfa/dynamicTTT,s50_109,48,10,6,324285,2,328
dfa/TTT,s50_109,48,10,47,347368,2,323
dfa/dynamicTTT,s50_110,47,10,8,316254,3,318
dfa/TTT,s50_110,47,10,46,346322,3,319
dfa/dynamicTTT,s50_111,46,10,8,309895,4,312
dfa/TTT,s50_111,46,10,45,334588,4,309
dfa/dynamicTTT,s50_112,45,10,8,302610,5,301
dfa/TTT,s50_112,45,10,44,331824,5,305
dfa/dynamicTTT,s50_113,44,10,9,291823,6,292
dfa/TTT,s50_113,44,10,43,322983,6,299
dfa/dynamicTTT,s50_114,43,10,10,286348,7,286
dfa/TTT,s50_114,43,10,42,319351,7,290
dfa/dynamicTTT,s50_115,42,10,11,286733,8,280
dfa/TTT,s50_115,42,10,41,308730,8,280
dfa/dynamicTTT,s50_116,41,10,11,275169,9,273
dfa/TTT,s50_116,41,10,40,281276,9,261
dfa/dynamicTTT,s50_117,49,10,4,318448,1,313
dfa/TTT,s50_117,49,10,47,339647,1,318
dfa/dynamicTTT,s50_118,48,10,6,308976,2,307
dfa/TTT,s50_118,48,10,45,328726,2,308
dfa/dynamicTTT,s50_119,47,10,8,299302,3,296
dfa/TTT,s50_119,47,10,46,316457,3,298
dfa/dynamicTTT,s50_120,46,10,8,290794,4,286
dfa/TTT,s50_120,46,10,44,297933,4,283
dfa/dynamicTTT,s50_121,45,10,9,281713,5,286
dfa/TTT,s50_121,45,10,44,295212,5,279
dfa/dynamicTTT,s50_122,44,10,10,273924,6,277
dfa/TTT,s50_122,44,10,43,292598,6,274
dfa/dynamicTTT,s50_123,43,10,11,269797,7,274
dfa/TTT,s50_123,43,10,42,285772,7,273
dfa/dynamicTTT,s50_124,42,10,13,273578,8,275
dfa/TTT,s50_124,42,10,41,284848,8,272
dfa/dynamicTTT,s50_125,41,10,14,267789,9,265
dfa/TTT,s50_125,41,10,40,275865,9,261
dfa/dynamicTTT,s50_126,49,10,5,317295,1,307
dfa/TTT,s50_126,49,10,48,335324,1,322
dfa/dynamicTTT,s50_127,48,10,4,309327,2,303
dfa/TTT,s50_127,48,10,46,318512,2,348
dfa/dynamicTTT,s50_128,47,10,4,297955,3,298
dfa/TTT,s50_128,47,10,46,314074,3,300
dfa/dynamicTTT,s50_129,46,10,4,305716,4,335
dfa/TTT,s50_129,46,10,45,313738,4,304
dfa/dynamicTTT,s50_130,45,10,6,297649,5,347
dfa/TTT,s50_130,45,10,44,298296,5,289
dfa/dynamicTTT,s50_131,44,10,8,294127,6,292
dfa/TTT,s50_131,44,10,43,292377,6,274
dfa/dynamicTTT,s50_132,43,10,10,290630,7,280
dfa/TTT,s50_132,43,10,42,291527,7,268
dfa/dynamicTTT,s50_133,42,10,10,278621,8,272
dfa/TTT,s50_133,42,10,40,273273,8,256
dfa/dynamicTTT,s50_134,41,10,12,293329,9,281
dfa/TTT,s50_134,41,10,40,284687,9,260
dfa/dynamicTTT,s50_135,49,10,8,336563,1,321
dfa/TTT,s50_135,49,10,48,341612,1,311
dfa/dynamicTTT,s50_136,48,10,10,331313,2,327
dfa/TTT,s50_136,48,10,46,336498,2,305
dfa/dynamicTTT,s50_138,49,10,6,324013,1,334
dfa/TTT,s50_138,49,10,48,339044,1,305
dfa/dynamicTTT,s50_139,48,10,10,339272,2,333
dfa/TTT,s50_139,48,10,46,351357,2,318
dfa/dynamicTTT,s50_140,47,10,10,327338,3,323
dfa/TTT,s50_140,47,10,45,330706,3,309
dfa/dynamicTTT,s50_141,46,10,12,320248,4,320
dfa/TTT,s50_141,46,10,45,327135,4,300
dfa/dynamicTTT,s50_142,45,10,14,315004,5,306
dfa/TTT,s50_142,45,10,44,306957,5,285
dfa/dynamicTTT,s50_143,44,10,14,299596,6,343
dfa/TTT,s50_143,44,10,43,306442,6,293
dfa/dynamicTTT,s50_144,43,10,13,300732,7,293
dfa/TTT,s50_144,43,10,42,290520,7,274
dfa/dynamicTTT,s50_145,42,10,13,290410,8,297
dfa/TTT,s50_145,42,10,41,277953,8,266
dfa/dynamicTTT,s50_146,41,10,11,279171,9,287
dfa/TTT,s50_146,41,10,40,275956,9,265
dfa/dynamicTTT,s50_147,49,10,8,323618,1,318
dfa/TTT,s50_147,49,10,48,356974,1,320
dfa/dynamicTTT,s50_148,48,10,9,323474,2,366
dfa/TTT,s50_148,48,10,47,342754,2,308
dfa/dynamicTTT,s50_149,47,10,10,309741,3,323
dfa/TTT,s50_149,47,10,46,334372,3,345
dfa/dynamicTTT,s50_150,46,10,12,318621,4,316
dfa/TTT,s50_150,46,10,45,333795,4,315
dfa/dynamicTTT,s50_151,45,10,12,309608,5,303
dfa/TTT,s50_151,45,10,44,321615,5,297
dfa/dynamicTTT,s50_152,44,10,14,300605,6,309
dfa/TTT,s50_152,44,10,43,311214,6,297
dfa/dynamicTTT,s50_153,43,10,15,287306,7,284
dfa/TTT,s50_153,43,10,42,301704,7,286
dfa/dynamicTTT,s50_154,42,10,13,280539,8,281
dfa/TTT,s50_154,42,10,41,295207,8,275
dfa/dynamicTTT,s50_155,41,10,14,264541,9,263
dfa/TTT,s50_155,41,10,40,284900,9,267
dfa/dynamicTTT,s50_156,49,10,8,336138,1,338
dfa/TTT,s50_156,49,10,48,348874,1,331
dfa/dynamicTTT,s50_157,48,10,9,318798,2,328
dfa/TTT,s50_157,48,10,47,333008,2,323
dfa/dynamicTTT,s50_158,47,10,9,309923,3,321
dfa/TTT,s50_158,47,10,44,320501,3,312
dfa/dynamicTTT,s50_159,46,10,10,310908,4,318
dfa/TTT,s50_159,46,10,44,320676,4,308
dfa/dynamicTTT,s50_160,45,10,11,301817,5,310
dfa/TTT,s50_160,45,10,43,310571,5,301
dfa/dynamicTTT,s50_161,44,10,11,295207,6,304
dfa/TTT,s50_161,44,10,42,301048,6,293
dfa/dynamicTTT,s50_162,43,10,11,286550,7,290
dfa/TTT,s50_162,43,10,42,293746,7,279
dfa/dynamicTTT,s50_163,42,10,12,279190,8,282
dfa/TTT,s50_163,42,10,41,286448,8,269
dfa/dynamicTTT,s50_164,41,10,12,272668,9,277
dfa/TTT,s50_164,41,10,40,285609,9,272
dfa/dynamicTTT,s50_165,49,10,7,327152,1,337
dfa/TTT,s50_165,49,10,47,352102,1,330
dfa/dynamicTTT,s50_166,48,10,9,314732,2,312
dfa/TTT,s50_166,48,10,46,342731,2,319
dfa/dynamicTTT,s50_167,47,10,12,307656,3,304
dfa/TTT,s50_167,47,10,46,334578,3,315
dfa/dynamicTTT,s50_168,46,10,15,305032,4,300
dfa/TTT,s50_168,46,10,45,334332,4,310
dfa/dynamicTTT,s50_169,45,10,15,293365,5,293
dfa/TTT,s50_169,45,10,44,321694,5,306
dfa/dynamicTTT,s50_170,44,10,15,286548,6,286
dfa/TTT,s50_170,44,10,43,313706,6,292
dfa/dynamicTTT,s50_171,43,10,18,293323,7,282
dfa/TTT,s50_171,43,10,42,301332,7,282
dfa/dynamicTTT,s50_172,42,10,18,284576,8,275
dfa/TTT,s50_172,42,10,40,285801,8,267
dfa/dynamicTTT,s50_173,41,10,18,271432,9,260
dfa/TTT,s50_173,41,10,40,274693,9,258
