algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,50,10,1,439521,1,746
dfa/TTT,1,50,10,49,468981,1,672
dfa/dynamicTTT,2,50,10,1,553606,2,936
dfa/TTT,2,50,10,49,584867,2,882
dfa/dynamicTTT,3,50,10,1,679963,3,1134
dfa/TTT,3,50,10,48,718792,3,1138
dfa/dynamicTTT,4,50,10,1,843522,4,1441
dfa/TTT,4,50,10,49,889016,4,1590
dfa/dynamicTTT,5,50,10,1,1083332,5,1811
dfa/TTT,5,50,10,49,1093089,5,1809
dfa/dynamicTTT,6,50,10,1,1272876,6,2238
dfa/TTT,6,50,10,54,1573739,6,2571
dfa/dynamicTTT,7,50,10,1,1506192,7,2412
dfa/TTT,7,50,10,57,1843366,7,3197
dfa/dynamicTTT,8,50,10,1,1772272,8,2937
dfa/TTT,8,50,10,55,2216769,8,3772
dfa/dynamicTTT,9,50,10,1,2074348,9,3586
dfa/TTT,9,50,10,56,2578462,9,4442
dfa/dynamicTTT,10,50,10,1,431507,1,634
dfa/TTT,10,50,10,47,459908,1,664
dfa/dynamicTTT,11,50,10,1,563823,2,818
dfa/TTT,11,50,10,49,603556,2,825
dfa/dynamicTTT,12,50,10,1,702608,3,1017
dfa/TTT,12,50,10,49,711909,3,1057
dfa/dynamicTTT,13,50,10,1,869700,4,1323
dfa/TTT,13,50,10,49,894839,4,1264
dfa/dynamicTTT,14,50,10,1,1057479,5,1654
dfa/TTT,14,50,10,47,1090404,5,1688
dfa/dynamicTTT,15,50,10,1,1282793,6,1984
dfa/TTT,15,50,10,49,1301296,6,1950
dfa/dynamicTTT,16,50,10,1,1504979,7,2403
dfa/TTT,16,50,10,49,1529647,7,2361
dfa/dynamicTTT,17,50,10,1,1776976,8,2733
dfa/TTT,17,50,10,49,1779939,8,2728
dfa/dynamicTTT,18,50,10,1,2060914,9,3369
dfa/TTT,18,50,10,49,2089209,9,3127
dfa/dynamicTTT,19,50,10,1,431165,1,554
dfa/TTT,19,50,10,49,449660,1,574
dfa/dynamicTTT,20,50,10,1,574349,2,730
dfa/TTT,20,50,10,48,591930,2,748
dfa/dynamicTTT,21,50,10,1,721440,3,914
dfa/TTT,21,50,10,48,757353,3,923
dfa/dynamicTTT,22,50,10,1,864597,4,1112
dfa/TTT,22,50,10,48,895093,4,1197
dfa/dynamicTTT,23,50,10,1,1063432,5,1455
dfa/TTT,23,50,10,49,1068535,5,1406
dfa/dynamicTTT,24,50,10,1,1263979,6,1774
dfa/TTT,24,50,10,49,1280692,6,1731
dfa/dynamicTTT,25,50,10,1,1485725,7,2017
dfa/TTT,25,50,10,48,1512259,7,2165
dfa/dynamicTTT,26,50,10,1,1766678,8,3353
dfa/TTT,26,50,10,49,1798507,8,2383
dfa/dynamicTTT,27,50,10,1,2084004,9,2835
dfa/TTT,27,50,10,49,2133740,9,2815
dfa/dynamicTTT,28,50,10,1,432605,1,530
dfa/TTT,28,50,10,47,459937,1,556
dfa/dynamicTTT,29,50,10,1,549953,2,678
dfa/TTT,29,50,10,49,603838,2,739
dfa/dynamicTTT,30,50,10,1,690089,3,865
dfa/TTT,30,50,10,49,711259,3,878
dfa/dynamicTTT,31,50,10,1,850603,4,1074
dfa/TTT,31,50,10,49,860651,4,1100
dfa/dynamicTTT,32,50,10,1,1027705,5,1357
dfa/TTT,32,50,10,49,1057275,5,1350
dfa/dynamicTTT,33,50,10,1,1240236,6,1660
dfa/TTT,33,50,10,49,1260343,6,1647
dfa/dynamicTTT,34,50,10,1,1489542,7,2010
dfa/TTT,34,50,10,49,1492306,7,1905
dfa/dynamicTTT,35,50,10,1,1776977,8,2327
dfa/TTT,35,50,10,49,1778438,8,2209
dfa/dynamicTTT,36,50,10,1,2038876,9,2685
dfa/TTT,36,50,10,49,2050425,9,2565
dfa/dynamicTTT,37,50,10,1,425007,1,484
dfa/TTT,37,50,10,49,449754,1,493
dfa/dynamicTTT,38,50,10,1,533523,2,619
dfa/TTT,38,50,10,49,563982,2,638
dfa/dynamicTTT,39,50,10,1,674108,3,790
dfa/TTT,39,50,10,49,714730,3,809
dfa/dynamicTTT,40,50,10,1,826428,4,975
