algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,50,10,13,269473,1,303
dfa/TTT,1,50,10,47,293244,1,315
dfa/dynamicTTT,2,50,10,14,199385,2,215
dfa/TTT,2,50,10,46,217756,2,222
dfa/dynamicTTT,3,50,10,17,140476,3,174
dfa/TTT,3,50,10,47,157105,3,165
dfa/dynamicTTT,5,50,10,1,239030,1,284
dfa/TTT,5,50,10,49,273901,1,293
dfa/dynamicTTT,6,50,10,28,199090,2,226
dfa/TTT,6,50,10,47,195828,2,212
dfa/dynamicTTT,7,50,10,28,143956,3,148
dfa/TTT,7,50,10,47,143163,3,150
dfa/dynamicTTT,8,50,10,30,104400,4,104
dfa/TTT,8,50,10,45,104092,4,117
dfa/dynamicTTT,10,50,10,32,261831,1,293
dfa/TTT,10,50,10,49,271496,1,297
dfa/dynamicTTT,11,50,10,35,198009,2,234
dfa/TTT,11,50,10,49,197854,2,210
dfa/dynamicTTT,12,50,10,38,156204,3,154
dfa/TTT,12,50,10,49,155217,3,158
dfa/dynamicTTT,13,50,10,42,117637,4,116
dfa/TTT,13,50,10,49,109382,4,108
dfa/dynamicTTT,15,50,10,25,280948,1,343
dfa/TTT,15,50,10,49,288536,1,324
dfa/dynamicTTT,17,50,10,8,260867,1,286
dfa/TTT,17,50,10,47,276672,1,297
dfa/dynamicTTT,18,50,10,14,201678,2,212
dfa/TTT,18,50,10,47,210620,2,215
dfa/dynamicTTT,19,50,10,14,150482,3,150
dfa/TTT,19,50,10,47,157900,3,158
dfa/dynamicTTT,21,50,10,11,265972,1,297
dfa/TTT,21,50,10,49,276685,1,302
dfa/dynamicTTT,22,50,10,11,194285,2,214
dfa/TTT,22,50,10,49,206118,2,248
dfa/dynamicTTT,23,50,10,19,144546,3,163
dfa/TTT,23,50,10,49,145583,3,160
dfa/dynamicTTT,24,50,10,29,108425,4,105
dfa/TTT,24,50,10,48,109879,4,111
dfa/dynamicTTT,26,50,10,10,262712,1,339
dfa/TTT,26,50,10,47,273264,1,309
dfa/dynamicTTT,27,50,10,32,216020,2,240
dfa/TTT,27,50,10,48,215472,2,251
dfa/dynamicTTT,28,50,10,40,159256,3,160
dfa/TTT,28,50,10,46,157332,3,165
dfa/dynamicTTT,29,50,10,45,118406,4,118
dfa/TTT,29,50,10,48,120678,4,117
dfa/dynamicTTT,30,50,10,45,83952,5,92
dfa/TTT,30,50,10,49,85618,5,83
dfa/dynamicTTT,31,50,10,43,56760,6,49
dfa/TTT,31,50,10,48,58607,6,50
dfa/dynamicTTT,32,50,10,36,27604,7,24
dfa/TTT,32,50,10,43,27470,7,23
dfa/dynamicTTT,33,50,10,32,14201,8,15
dfa/TTT,33,50,10,30,12827,8,13
dfa/dynamicTTT,34,50,10,2,33,9,1
dfa/TTT,34,50,10,2,33,9,0
dfa/dynamicTTT,35,50,10,7,270847,1,317
dfa/TTT,35,50,10,49,287869,1,348
dfa/dynamicTTT,36,50,10,7,202052,2,229
dfa/TTT,36,50,10,49,222266,2,246
dfa/dynamicTTT,37,50,10,24,152241,3,168
dfa/TTT,37,50,10,49,156956,3,168
dfa/dynamicTTT,38,50,10,31,121409,4,132
dfa/TTT,38,50,10,49,124630,4,136
dfa/dynamicTTT,39,50,10,42,80029,5,85
