algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,10,10,5,41173,1,39
dfa/TTT,1,10,10,8,39894,1,39
dfa/dynamicTTT,2,10,10,4,32184,2,35
dfa/TTT,2,10,10,7,32637,2,32
dfa/dynamicTTT,3,10,10,4,25643,3,26
dfa/TTT,3,10,10,6,25509,3,26
dfa/dynamicTTT,4,10,10,3,20611,4,23
dfa/TTT,4,10,10,5,20584,4,22
dfa/dynamicTTT,5,10,10,3,13645,5,15
dfa/TTT,5,10,10,4,13376,5,14
dfa/dynamicTTT,6,10,10,3,11982,6,12
dfa/TTT,6,10,10,3,11643,6,14
dfa/dynamicTTT,7,10,10,2,6263,7,7
dfa/TTT,7,10,10,2,5963,7,6
dfa/dynamicTTT,8,10,10,1,2615,8,3
dfa/TTT,8,10,10,1,2352,8,2
dfa/dynamicTTT,9,10,10,1,1413,9,2
dfa/TTT,9,10,10,1,1232,9,1
dfa/dynamicTTT,10,10,10,1,33057,1,37
dfa/TTT,10,10,10,8,36918,1,40
dfa/dynamicTTT,11,10,10,3,27524,2,27
dfa/TTT,11,10,10,7,30095,2,31
dfa/dynamicTTT,12,10,10,3,23669,3,27
dfa/TTT,12,10,10,6,23439,3,25
dfa/dynamicTTT,13,10,10,2,18977,4,20
dfa/TTT,13,10,10,5,18934,4,19
dfa/dynamicTTT,14,10,10,2,15282,5,16
dfa/TTT,14,10,10,4,15206,5,17
dfa/dynamicTTT,15,10,10,3,10459,6,12
dfa/TTT,15,10,10,3,10234,6,12
dfa/dynamicTTT,16,10,10,2,6170,7,7
dfa/TTT,16,10,10,2,5922,7,7
dfa/dynamicTTT,17,10,10,1,1595,8,1
dfa/TTT,17,10,10,1,1232,8,1
dfa/dynamicTTT,19,10,10,2,31670,1,41
dfa/TTT,19,10,10,8,31957,1,37
dfa/dynamicTTT,20,10,10,2,28055,2,26
dfa/TTT,20,10,10,7,28071,2,26
dfa/dynamicTTT,21,10,10,4,24583,3,25
dfa/TTT,21,10,10,6,24433,3,25
dfa/dynamicTTT,22,10,10,4,21151,4,20
dfa/TTT,22,10,10,5,20922,4,20
