algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/dynamicTTT,/Nordsec16/client_098f.dot,3,10,1,32,1,41,2007-10-11 18:23:17
mealy/TTT,/Nordsec16/client_098f.dot,3,10,1,24,1,30,2007-10-11 18:23:17
mealy/dynamicTTT,/Nordsec16/client_098j.dot,20,10,8,209,1,203,2009-01-07 10:50:54
mealy/TTT,/Nordsec16/client_098j.dot,20,10,8,209,1,136,2009-01-07 10:50:54
mealy/dynamicTTT,/Nordsec16/client_098j.dot,20,10,8,209,2,121,2009-01-07 10:50:54
mealy/TTT,/Nordsec16/client_098j.dot,20,10,8,209,2,124,2009-01-07 10:50:54
mealy/dynamicTTT,/Nordsec16/client_098l.dot,18,10,3,283,1,121,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/client_098l.dot,18,10,9,221,1,104,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/client_098l.dot,18,10,9,221,2,103,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/client_098l.dot,18,10,9,221,2,104,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/client_098l.dot,18,10,9,221,3,109,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/client_098l.dot,18,10,9,221,3,117,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/client_098m.dot,19,10,1,280,1,100,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/client_098m.dot,19,10,7,188,1,102,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/client_098m.dot,19,10,1,247,2,103,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/client_098m.dot,19,10,7,188,2,99,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/client_098m.dot,19,10,7,188,3,102,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/client_098m.dot,19,10,7,188,3,101,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/client_098m.dot,19,10,7,188,4,102,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/client_098m.dot,19,10,7,188,4,98,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/client_098za.dot,12,10,1,189,1,59,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/client_098za.dot,12,10,5,116,1,62,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/client_098za.dot,12,10,1,181,2,59,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/client_098za.dot,12,10,5,116,2,61,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/client_098za.dot,12,10,1,189,3,60,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/client_098za.dot,12,10,5,116,3,61,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/client_098za.dot,12,10,5,116,4,60,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/client_098za.dot,12,10,5,116,4,61,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/client_098za.dot,12,10,5,116,5,59,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/client_098za.dot,12,10,5,116,5,62,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,1,189,1,66,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,1,61,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,1,181,2,59,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,2,63,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,1,189,3,60,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,3,62,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,5,116,4,59,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,4,60,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,5,116,5,63,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,5,63,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_100m.dot,12,10,5,132,6,60,2014-06-05 10:42:13
mealy/TTT,/Nordsec16/client_100m.dot,12,10,5,116,6,59,2014-06-05 10:42:13
mealy/dynamicTTT,/Nordsec16/client_101.dot,19,10,1,254,1,100,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/client_101.dot,19,10,1,287,2,102,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/client_101.dot,19,10,1,254,3,100,2012-03-14 12:39:00
