algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/dynamicTTT,/Nordsec16/server_097e.dot,24,10,1,337,1,170,2004-10-25 11:24:39
mealy/TTT,/Nordsec16/server_097e.dot,24,10,10,326,1,178,2004-10-25 11:24:39
mealy/dynamicTTT,/Nordsec16/server_098l.dot,20,10,1,323,1,104,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/server_098l.dot,20,10,6,233,1,109,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/server_098l.dot,20,10,1,323,2,110,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/server_098l.dot,20,10,6,233,2,106,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/server_098m.dot,19,10,2,279,1,109,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/server_098m.dot,19,10,7,228,1,106,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/server_098m.dot,19,10,1,304,2,107,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/server_098m.dot,19,10,7,228,2,106,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/server_098m.dot,19,10,1,304,3,106,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/server_098m.dot,19,10,7,228,3,105,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/server_098s.dot,19,10,1,256,1,105,2012-01-04 19:23:07
mealy/TTT,/Nordsec16/server_098s.dot,19,10,6,223,1,108,2012-01-04 19:23:07
mealy/dynamicTTT,/Nordsec16/server_098s.dot,19,10,1,256,2,108,2012-01-04 19:23:07
mealy/TTT,/Nordsec16/server_098s.dot,19,10,6,223,2,104,2012-01-04 19:23:07
mealy/dynamicTTT,/Nordsec16/server_098s.dot,19,10,1,308,3,106,2012-01-04 19:23:07
mealy/TTT,/Nordsec16/server_098s.dot,19,10,6,223,3,105,2012-01-04 19:23:07
mealy/dynamicTTT,/Nordsec16/server_098s.dot,19,10,1,308,4,102,2012-01-04 19:23:07
